BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 8329.2 156640000000000.0 9.3095 54534308176000.0 0.25824310091050096 2.4041141479263084
5 3 8346.2 249080000000.0 0.014773 55751870000000.0 0.9955522183105823 0.014707292921102231
6 3 8355.3 3694300000000.0 0.43773999999999996 195437100000000.0 0.9814479283528363 0.4296190161571705
7 3 8401.9 0.0 0.0 78818897000.0 1.0 0.0
8 3 8405.6 74881000000000.0 4.4099 746624300000000.0 0.9088490360317821 4.007933363996556
9 3 8436.4 1438100000000.0 0.084384 325993600000000.0 0.9956079389991866 0.08401338032450736
10 3 8446.2 3395200000000.0 0.39797 1506912000000000.0 0.9977519805242271 0.39707535568922664
11 3 8467.0 66487000000000.0 3.8871 935204700000000.0 0.9336252861034987 3.62909484961291
12 3 8475.1 113260000000000.0 13.231 34196630000000.0 0.23190974864948427 3.0683978843813264
13 3 8476.1 1879400000000.0 0.21952 95454137000000.0 0.980691136293547 0.2152813182391594
14 3 8487.8 68627000000000.0 12.007 334087927680000.0 0.8295891329498184 9.96087671932847
15 3 8505.6 1523600000000.0 0.088673 2152047900000000.0 0.9992925240698997 0.08861026598685022
16 3 8510.7 125160000000000.0 14.56 1412026600000000.0 0.9185785252096265 13.374503327052162
17 3 8548.7 102180000000000.0 17.75 515534500000000.0 0.8345837761619648 14.813862026874874
18 3 8572.6 49271000000000.0 5.6902 1963281496000000.0 0.9755181541361394 5.55089340066546
19 3 8594.4 29246000000000.0 1.6845 952702463000000.0 0.9702163595117314 1.6343294575975116
