BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 2742.8 69974000000000.0 3.1572 3641748000000.0 0.04946968683928879 0.15618569528900256
14 10 2743.7 67296000000000.0 9.1061 7511229440000.0 0.10040780144149661 0.9143234807064122
15 10 2747.5 65848000000000.0 14.83 4051588688000.0 0.0579629832456447 0.8595910415329109
16 10 2751.5 393940000000.0 0.053154999999999994 732823213610.0 0.6503790723359982 0.03457089959001998
17 10 2753.6 156320000000.0 0.035127 411344967700.0 0.7246263044320675 0.025453948195785236
18 10 2755.8 1111300000000.0 0.34931999999999996 559630920900.0 0.3349216379325667 0.11699482656260418
19 10 2762.1 2369500000000.0 0.31849 165245508570000.0 0.9858634377660134 0.3139876462940976
20 10 2786.8 792040000000.0 0.035172 233145835580000.0 0.9966143148131259 0.03505291868060727
21 10 2787.4 66265000000000.0 8.826 171083117740000.0 0.7208109310873526 6.3618772777769745
22 10 2787.7 125870000000000.0 27.939 107476889300000.0 0.4605884810481594 12.868381572004527
23 10 2788.2 147730000000000.0 45.898999999999994 78978960000000.0 0.3483715861957992 15.989907434800987
24 10 2789.6 84541000000000.0 11.251 145994292800000.0 0.633283915129892 7.125077329126415
25 10 2792.1 24537000000000.0 5.4378 211345867100000.0 0.8959780322256393 4.872149343636582
26 10 2804.0 50996000000000.0 6.7522 74827660000000.0 0.5947026179337018 4.0155510168119415
27 10 2808.3 1902300000000.0 0.08383 18362920000000.0 0.9061298125556989 0.07596086218654424
28 10 2809.9 103750000000000.0 22.846999999999998 63853617800000.0 0.38097994922875705 8.70424890002941
29 10 2810.1 67361000000.0 0.014833 631676438700.0 0.90363749311443 0.013403654935366341
30 10 2811.0 7427500000000.0 0.98098 24038315420000.0 0.7639501820989198 0.7494198496353983
31 10 2814.0 45442000000000.0 9.9924 26745886400000.0 0.37050380242189773 3.7022221953205707
32 10 2824.8 630950000000.0 0.082924 243055077900000.0 0.9974108076468836 0.08270929381331017
33 10 2828.1 58895000000000.0 2.5771 83099119790000.0 0.5852293032478961 1.5081944374001532
35 10 2833.8 95308000000.0 0.012486 82248722660000.0 0.9988425633377903 0.012471548245835651
36 10 2833.9 153340000000.0 0.033482 79190163000000.0 0.9980673905965558 0.03341729237195388
37 10 2841.2 139840000000.0 0.018272999999999998 317937962660000.0 0.9995603591359392 0.018264966442491013
38 10 2847.8 1234000000000.0 0.26813000000000003 172246463000000.0 0.9928868070867438 0.26622273958416864
39 10 2850.1 2800400000000.0 0.12159 78409430000000.0 0.9655164898141025 0.11739714999649672
40 10 2850.4 2621100000000.0 0.34139 90339339300000.0 0.9718041349660447 0.331764213636058
41 10 2852.7 1530300000000.0 0.33193 149981857000000.0 0.98989982038207 0.3285774473794205
42 10 2866.2 106130000000.0 0.013747 243475866700000.0 0.9995642945643035 0.013741010357375481
