BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 2084.1 341010000000.0 0.10125 190517620520.0 0.358434092914333 0.03629145190757622
36 20 2102.2 37864000000000.0 15.603 35630458424000.0 0.48480469395995557 7.564407639857187
37 20 2102.2 92610000000000.0 27.259 35885384100000.0 0.27927372139743656 7.6127223715727235
38 20 2102.3 107930000000000.0 19.061 36690035250000.0 0.2536995319256776 4.8357667780353415
39 20 2106.8 12177000000000.0 2.1459 105909994300000.0 0.8968811081001492 1.9246171698721104
40 20 2107.8 36221000000000.0 10.633 40038448470000.0 0.525029347488015 5.582637051840063
41 20 2108.0 48790000000000.0 2.8643 38307762300000.0 0.4398248736638323 1.259790385635315
42 20 2108.6 24964000000000.0 4.3955 82767110380000.0 0.7682749215900173 3.3769524178489214
43 20 2114.4 42952000000000.0 12.57 109090564100000.0 0.7175001602067825 9.018977013799256
44 20 2119.6 39310000000000.0 6.8853 113879390610000.0 0.7433895399448511 5.118459999382283
45 20 2124.1 0.0 0.0 35718653410000.0 1.0 0.0
46 20 2125.6 12300000.0 3.5805000000000003e-06 35732091232000.0 0.9999996557717351 3.5804987674906978e-06
47 20 2126.3 564470000.0 9.855799999999999e-05 35777856812000.0 0.999984223171963 9.855644506738232e-05
48 20 2150.7 82237000000.0 0.02366 128528220590000.0 0.9993605729927331 0.023644871157008064
49 20 2151.6 173080000000.0 0.029865 101462769800000.0 0.998297057580169 0.029814141624631744
50 20 2151.6 0.0 0.0 71924965110000.0 1.0 0.0
51 20 2152.2 56664000000.0 0.016291 88542373270000.0 0.9993604445178415 0.016280581001640156
52 20 2152.6 76120000000.0 0.013128 116622937470000.0 0.9993477239521016 0.013119436920043191
53 20 2152.8 160140000000.0 0.0092058 146358076000000.0 0.9989070300992472 0.00919573833768765
54 20 2164.3 532540000000.0 0.091352 73923433440000.0 0.9928475852856972 0.09069861261101901
55 20 2168.6 151740000000.0 0.043296 68893926100000.0 0.9978023240476783 0.04320084942196828
56 20 2170.5 616810000000.0 0.17584 46207515770000.0 0.9868271461498505 0.1735236853789897
57 20 2171.7 701350000000.0 0.1199 41507331960000.0 0.9833837502752478 0.11790771165800222
58 20 2171.9 1696900000000.0 0.09669 41211727800000.0 0.9604531748740751 0.09286621747857432
59 20 2180.4 273600000000.0 0.046585 148276096280000.0 0.9981581921279442 0.046499199380280284
60 20 2181.8 1394300000000.0 0.079083 75110082219000.0 0.9817749002140989 0.07764170443363158
61 20 2210.1 30065000.0 8.4176e-06 71053969883000.0 0.9999995768711119 8.417596438270271e-06
62 20 2211.6 38021000000.0 0.0063827 71696512100000.0 0.9994699763369618 0.006379317017965925
63 20 2212.7 66201000000.0 0.0037025 71140129790000.0 0.9990702933395734 0.0036990577610897706
64 20 2222.6 28590000000.0 0.0047757 146895905230000.0 0.9998054102554156 0.004774770697756788
