BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 2046.6 752220000000.0 0.18194000000000002 1160365452400.0 0.6066999259792132 0.11038298453265806
26 15 2047.7 64161000000.0 0.031022000000000004 951791650000.0 0.9368464662206453 0.02906285107509686
27 15 2048.7 1006200000000.0 0.72939 1111555679400.0 0.524874370642663 0.38283811720305194
28 15 2051.7 0.0 0.0 71146696970.0 1.0 0.0
29 15 2062.8 124360000000000.0 89.52600000000001 38589693300000.0 0.23681967433319495 21.201518164353615
30 15 2062.9 119210000000000.0 57.211000000000006 43602239570000.0 0.2678068902261707 15.321499996729454
31 15 2065.3 5315500000000.0 1.274 115068355100000.0 0.9558454080442552 1.2177470498483811
32 15 2067.7 6963500000000.0 3.3343 114854804160000.0 0.9428369977072254 3.1437014014552016
33 15 2071.2 79850000000000.0 19.084 47574278250000.0 0.3733533271945372 7.125074896180547
35 15 2083.5 0.0 0.0 37330421969000.0 1.0 0.0
36 15 2083.6 1863200000.0 0.00088528 37891965703000.0 0.9999508310441584 0.0008852364717067726
37 15 2083.7 3786400000.0 0.00089952 37492361464000.0 0.9998990189601947 0.0008994291655350743
38 15 2085.8 1528000000.0 0.00072526 154416270000000.0 0.9999901047675864 0.0007252528233837398
39 15 2092.4 219.31 1.5566e-10 39308995926000.0 0.9999999999944208 1.5565999999913155e-10
40 15 2092.5 419140000.0 0.00019831 40314158193000.0 0.9999896032644336 0.00019830793822336981
41 15 2092.6 128760000.0 3.046e-05 38992948730000.0 0.9999966978754105 3.0459899417285e-05
42 15 2105.7 27865000000.0 0.013101 108861609910000.0 0.999744098315994 0.013097647432037837
43 15 2105.9 87952.0 6.2022e-08 109695884230000.0 0.9999999991982197 6.202199995027198e-08
44 15 2111.4 52113000000.0 0.024436000000000003 4699107500000.0 0.9890316603912616 0.02416797765332087
45 15 2114.2 96850000000.0 0.045351999999999996 104188194710000.0 0.9990712954070324 0.045309881389299735
46 15 2114.4 109450000000.0 0.025623000000000003 112245114000000.0 0.9990258517669117 0.025598039399823583
47 15 2117.2 17076.0 1.1978e-08 44906364337000.0 0.9999999996197421 1.197799999544527e-08
48 15 2118.0 14046000.0 6.565499999999999e-06 53770129639000.0 0.9999997387769674 6.565498284940178e-06
49 15 2125.5 2256100000000.0 0.5254300000000001 69111227000000.0 0.9683874947425171 0.5088198413625608
50 15 2126.2 2739000000000.0 1.2754 45526576800000.0 0.9432514810431106 1.2030229389223834
51 15 2128.4 545340000000.0 0.12683 135289749000000.0 0.9959852788847512 0.12632081292095299
52 15 2137.7 142710000.0 9.9138e-05 37127398790000.0 0.999996156222733 9.91376189356093e-05
53 15 2139.4 33119000.0 1.5326e-05 37202236758000.0 0.999999109758622 1.532598635616064e-05
54 15 2140.0 2065600000.0 0.00047778 37228439560000.0 0.9999445186147455 0.0004777534921037531
55 15 2153.3 5304600000.0 0.0036582999999999997 75252225870000.0 0.9999295140304648 0.0036580421411776492
56 15 2153.4 4795100000.0 0.0022046 82440680100000.0 0.9999418391368554 0.002204471778561112
57 15 2157.0 620900000.0 0.00028498 149862151550000.0 0.9999958568763286 0.00028497881929261614
58 15 2158.1 3504100000.0 0.00080374 156201778700000.0 0.9999775673399952 0.0008037219699738478
59 15 2171.8 267860000000.0 0.061051999999999995 76754551160000.0 0.9965223108967133 0.06083968012486613
