BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 1923.4 146470000000000.0 37.696 4293404000000.0 0.028477759761911452 1.073497631985014
5 3 1930.5 7027900000.0 0.001802 83544420000.0 0.9224056532945165 0.0016621749872367188
6 3 1931.2 47375000000.0 0.024287 226084700000.0 0.8267569225008292 0.020079445376777638
7 3 1932.8 0.0 0.0 188132157.0 1.0 0.0
8 3 1955.9 12342000000000.0 3.1236 74517270000000.0 0.8579080851128498 2.679761694658498
9 3 1957.1 2135600000000.0 1.0803 83547520000000.0 0.9750756041563379 1.0533741751700918
10 3 1963.3 5931300000.0 0.0014955 196440372000.0 0.9706910560090644 0.0014516684742615557
11 3 1964.4 86248000000.0 0.043468 197644956000.0 0.6961953504756913 0.030262219494477348
12 3 1965.6 1351700000000.0 1.0213 347150503920.0 0.20434435114742006 0.20869688582686013
13 3 1967.2 102300000000000.0 25.741999999999997 13090270000000.0 0.11344344718146512 2.920261217345275
14 3 1967.8 108300000000000.0 54.488 3895592000000.0 0.03472143540184716 1.891901572175848
15 3 1981.0 156570000000000.0 117.37 41904310000000.0 0.21113216113460728 24.780581752368857
16 3 1981.1 151310000000000.0 75.61399999999999 46931813490000.0 0.23674023488676066 17.900876120727517
17 3 1984.5 133210000000.0 0.033229 131262740000000.0 0.9989861940189176 0.03319531224105462
18 3 1986.8 7629800000000.0 3.8018 127310850000000.0 0.9434581054708125 3.5868390253789353
19 3 2002.6 21454000000000.0 5.303 41394181000000.0 0.6586376939055723 3.49275569078125
