BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 1980.2 66210000000000.0 4.1379 2022323000000.0 0.029638782780413323 0.1226423192670723
14 10 1980.6 64783000000000.0 12.144 2839202148000.0 0.04198624205976073 0.5098809235737344
15 10 1982.4 63412000000000.0 19.793 2151546250000.0 0.032816197003681755 0.6495309872938729
16 10 1986.2 137750000000.0 0.025748000000000004 130287644610.0 0.48607965048928503 0.012515578840798113
17 10 1987.2 54659000000.0 0.01702 80673387370.0 0.5961129404259914 0.010145842246050373
18 10 1988.2 364900000000.0 0.15899000000000002 94690613800.0 0.20603252319945442 0.032757110863481265
19 10 1994.9 1463400000000.0 0.27234 84377574501000.0 0.982952197263523 0.2676972014027479
20 10 2015.6 291560000000.0 0.017901 119023100000000.0 0.9975563773973793 0.01785725671179049
21 10 2015.7 82160000000000.0 15.133 75136926530000.0 0.4776757447684124 7.2286670455803845
22 10 2015.7 125860000000000.0 38.637 50438665600000.0 0.2860978296593528 11.053961844548414
23 10 2015.8 142350000000000.0 61.173 39679710000000.0 0.21798480039329843 13.334784194459246
24 10 2016.8 61768000000000.0 11.37 84701920380000.0 0.5782888401949714 6.575144113016824
25 10 2018.1 17654000000000.0 5.4129 110250155060000.0 0.8619747732845857 4.665783250312134
26 10 2029.2 54328000000000.0 9.9397 40892444200000.0 0.42945025664982145 4.26860671602223
27 10 2032.9 23745000000.0 0.0072274 105231629250.0 0.8158968788525693 0.0058968131022190595
28 10 2033.9 860020000000.0 0.052328999999999994 6893446500000.0 0.8890792911789842 0.04652463022810506
29 10 2034.2 111940000000000.0 34.049 33977360600000.0 0.23285344841962555 7.9284270652398305
30 10 2035.0 2369900000000.0 0.43236 7585511600000.0 0.7619485667473558 0.32943608231888677
31 10 2036.4 31571000000000.0 9.5931 11169762600000.0 0.26133746616865466 2.507036446702521
32 10 2046.3 207040000000.0 0.037562 123429648810000.0 0.9983254161689968 0.037499099282139854
33 10 2048.4 57966000000000.0 3.5019 42858682195000.0 0.4250812525459704 1.4885920382907338
35 10 2052.9 56076000000.0 0.016902 39471542400000.0 0.9985813463530098 0.016878021916058573
36 10 2052.9 32423000000.0 0.0058637 39861449158000.0 0.9991872686644307 0.005858934387267623
37 10 2059.0 63547000000.0 0.011459 164742423360000.0 0.9996144132408481 0.01145458156132688
38 10 2064.9 1297300000000.0 0.38877 86319949000000.0 0.9851935547531285 0.38301369828137377
39 10 2066.2 2819400000000.0 0.50659 41621986800000.0 0.9365591354588422 0.47445149243209483
40 10 2066.3 2887000000000.0 0.17290999999999998 39205990000000.0 0.9314137579677756 0.16105075289020807
41 10 2067.3 1597600000000.0 0.47818999999999995 75736703000000.0 0.9793416383412675 0.46831137803841066
42 10 2079.3 110390000000.0 0.019711000000000003 122741324820000.0 0.9991014370441492 0.01969328842557723
