BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 5127.0 9868400000000.0 0.9528 49375739020000.0 0.8334282485450828 0.7940904352137549
26 15 5137.9 777790000000.0 0.14987 16231339990000.0 0.9542722055474161 0.14301677544539126
27 15 5144.2 21740000000000.0 6.2759 44780317438000.0 0.6731825577912691 4.224826414442226
28 15 5156.8 0.0 0.0 10660798189000.0 1.0 0.0
29 15 5162.5 10839000000000.0 1.0393 741168968400000.0 0.9855865888987034 1.0243201418424224
30 15 5163.5 113590000000000.0 21.779 418163586800000.0 0.7863860201046038 17.126701131858166
31 15 5170.1 123440000000000.0 35.455999999999996 238702312900000.0 0.6591395271888981 23.37045107600957
32 15 5183.7 33482000000000.0 6.3947 698041659000000.0 0.9542297783700253 6.102013163742801
33 15 5189.6 74265000000000.0 7.0838 361116287740000.0 0.8294253747433689 5.875483469607077
34 15 5206.0 20475000000.0 0.0038938 417807672280000.0 0.999950996599599 0.003893609190559519
35 15 5207.8 4576.3 1.3050000000000001e-09 273596478050000.0 0.9999999999832735 1.304999999978172e-09
36 15 5208.9 72775000000.0 0.006915999999999999 295211510900000.0 0.9997535425910722 0.006914295500559855
38 15 5215.2 61270000000.0 0.011631 893066720000000.0 0.99993139841021 0.011630202094909153
39 15 5228.9 42490000.0 4.0225e-06 283763295500000.0 0.9999998502625452 4.0224993976810885e-06
40 15 5230.2 38881000000.0 0.007359999999999999 335058489300000.0 0.9998839710381338 0.007359146026840664
41 15 5230.2 29537.0 8.3867e-09 327897057000000.0 0.99999999990992 8.386699999244526e-09
42 15 5246.4 478540000000.0 0.090305 631961814400000.0 0.9992433436660537 0.09023667014976297
43 15 5252.6 764820.0 2.1623e-07 719161723000000.0 0.9999999989365118 2.1622999977004193e-07
44 15 5255.9 242820000000.0 0.045739999999999996 198349830500000.0 0.9987772961416818 0.04568407352552052
45 15 5261.4 1928400000.0 0.00036287 584640692600000.0 0.9999967015747215 0.0003628688031004192
46 15 5263.3 3203000000.0 0.00030124 849968364900000.0 0.9999962316386559 0.0003012388648188287
47 15 5269.3 145130.0 4.0902000000000005e-08 326752131250000.0 0.9999999995558407 4.0901999981833e-08
48 15 5277.8 75936000000.0 0.014244 585208815100000.0 0.9998702580242228 0.014242151955297029
49 15 5278.5 1754900000000.0 0.16458 550147666000000.0 0.9968202720767926 0.16405668037839852
50 15 5291.5 1915600000000.0 0.35841 268579157300000.0 0.9929181621887205 0.35587179851005935
51 15 5295.7 788010000000.0 0.073659 820009374100000.0 0.9990399457707043 0.07358828336552431
52 15 5306.1 775100000.0 0.00021693 284127720000000.0 0.9999972720089207 0.00021692940821689517
53 15 5317.8 217100000.0 4.0418000000000005e-05 332619126560000.0 0.999999347301941 4.0417973619249854e-05
54 15 5321.5 32414000000.0 0.0030151999999999996 293753362000000.0 0.9998896679055013 0.003014867326668667
55 15 5335.8 633320000.0 0.00011751 739217637000000.0 0.9999991432571063 0.00011750989932414256
56 15 5341.3 2552400000.0 0.00070966 526949300600000.0 0.9999951562937193 0.0007096565626154008
57 15 5349.7 2703100000.0 0.00050024 858691723000000.0 0.9999968520815813 0.0005002384252852902
58 15 5349.9 34604000000.0 0.0032018999999999997 1016453999000000.0 0.9999659573162967 0.00320179099873105
59 15 5378.6 137040000000.0 0.012612 622692970100000.0 0.9997799720665708 0.012609225007703591
