BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 5307.6 43104000000000.0 12.06 273387054560000.0 0.863806577219299 10.417507321264747
36 15 5319.0 18501000000000.0 3.4437 323700369700000.0 0.9459353420583343 3.257517537446286
37 15 5321.3 23702000000000.0 2.2049 299586473390000.0 0.9266846734389845 2.043247036465617
38 15 5335.8 17105000000000.0 3.1738 702125368000000.0 0.9762176337915698 3.098319526127684
39 15 5341.5 229620000000.0 0.06384 498875418400000.0 0.9995399365217067 0.06381062954754575
40 15 5346.7 8228300000000.0 0.76181 858051568000000.0 0.9905015684838702 0.7545739998866972
41 15 5349.2 7100700000000.0 1.3142 801578346000000.0 0.9912193842104324 1.3026605147293504
42 15 5367.9 62487000000.0 0.005762399999999999 687955028300000.0 0.9999091781842607 0.0057618766483689835
43 15 5410.0 13683.0 3.7561e-09 512418855300000.0 0.9999999999732972 3.756099999899702e-09
44 15 5418.6 80411000000.0 0.014691999999999998 531913509000000.0 0.9998488497763283 0.014689779300913813
45 15 5426.3 59767000000.0 0.0054523 528746734600000.0 0.9998869775620777 0.005451683767761716
46 15 5450.2 172830000000.0 0.031394 915105452900000.0 0.9998111721831174 0.03138807193951679
47 15 5454.5 141840000000.0 0.012872999999999999 1030202382000000.0 0.9998623372684862 0.012871227867657221
48 15 5470.7 98733000000.0 0.017868000000000002 632419168300000.0 0.9998439048131332 0.017865210891201067
49 15 5478.6 18621000000.0 0.0016825 521309926150000.0 0.9999642816413914 0.001682439903861641
50 15 5571.3 6775300000.0 0.000602 766975000000000.0 0.999991166282931 0.0006019946821023245
