BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 4916.6 152140000000000.0 15.317 22813740000000.0 0.13039869853596728 1.9973168654754108
5 3 4928.9 105930000000.0 0.010639000000000001 6745063000000.0 0.9845380078479135 0.010474499865493953
6 3 4933.1 958310000000.0 0.19232 21954160000000.0 0.958175177097886 0.18427625005946544
7 3 4946.7 0.0 0.0 9012891300.0 1.0 0.0
8 3 4972.6 42449000000000.0 4.2257 367912100000000.0 0.8965569592244489 3.7885807425947533
9 3 4983.6 271520000000.0 0.053939999999999995 575811000000000.0 0.9995286786344428 0.05391457692554184
10 3 4990.6 287230000000.0 0.028489999999999998 29642972700000.0 0.9904033392998036 0.028216591136651405
11 3 4998.7 85816000000000.0 8.4982 223521200000000.0 0.7225810539437223 6.140638312624541
12 3 5000.6 951080000000.0 0.1883 13385589800000.0 0.9336610235662957 0.17580837073753347
13 3 5002.3 115470000000000.0 22.853 145848836770.0 0.001261495186320985 0.028828949492993472
14 3 5007.5 26456000000000.0 7.8461 44965105018000.0 0.6295772798064047 4.939726295089032
15 3 5027.9 132080000000000.0 26.008000000000003 438862700000000.0 0.768663300187567 19.991395111278244
16 3 5028.4 1161500000000.0 0.11434000000000001 838196000000000.0 0.9986162034651505 0.11418177670420532
17 3 5035.1 141120000000000.0 41.62 246593900000000.0 0.6360202716487595 26.47116370602137
18 3 5050.0 37643000000000.0 7.3799 740691672000000.0 0.9516364857506951 7.022982101191555
19 3 5070.6 26044000000000.0 2.5426 311884960000000.0 0.9229305472960945 2.34664320955505
