BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 5912.6 13213000000000.0 1.1062 91881512060000.0 0.8742750716378368 0.9671230842457751
26 15 5928.5 1010500000000.0 0.16875 26812577280000.0 0.9636812280025411 0.1626212072254288
27 15 5936.2 31218000000000.0 7.8096 82472978520000.0 0.7254135692524779 5.665189810434152
28 15 5952.5 0.0 0.0 23015350091000.0 1.0 0.0
29 15 5953.8 9861300000000.0 0.81989 975604417400000.0 0.9899932592013272 0.8116855732865762
30 15 5956.0 112330000000000.0 18.671 583451667600000.0 0.8385556774045709 15.656673052820743
31 15 5966.9 116350000000000.0 28.958000000000002 299590123000000.0 0.7202722373575872 20.85764344940101
32 15 5982.7 37396000000000.0 6.1884 916018952000000.0 0.9607767846292388 5.945671053999581
33 15 5989.2 72395000000000.0 5.9836 482003304710000.0 0.8694169888598973 5.202243494542081
34 15 6003.5 27066000000.0 0.0044635 608599886150000.0 0.9999555294094282 0.004463301505518983
35 15 6007.1 8704.0 2.1517e-09 369473766800000.0 0.9999999999764422 2.1516999999493107e-09
36 15 6008.1 107090000000.0 0.008823000000000001 415485382300000.0 0.9997423196830122 0.008820726486563218
38 15 6016.5 113210000000.0 0.018629 1148438816000000.0 0.9999014324145209 0.01862716378445011
39 15 6032.6 356760000.0 2.9274e-05 387003988600000.0 0.9999990781498858 2.9273973013759756e-05
40 15 6033.7 92541000000.0 0.015184 453999179900000.0 0.9997962063703417 0.015180905597527269
41 15 6034.6 57245.0 1.4087e-08 478219763450000.0 0.9999999998802956 1.4086999998313725e-08
42 15 6049.3 588580000000.0 0.096328 779245086000000.0 0.9992452493067926 0.09625529637522472
43 15 6058.9 1002600.0 2.4575e-07 913221884000000.0 0.9999999989021288 2.4574999973019813e-07
44 15 6060.6 213430000000.0 0.034865 351533416400000.0 0.9993932283908601 0.03484384490784734
45 15 6066.5 93423000.0 1.5246e-05 768061682500000.0 0.9999998783652527 1.5245998145556643e-05
46 15 6068.4 721290000.0 5.8838e-05 1164494390400000.0 0.9999993805985162 5.88379635556555e-05
47 15 6076.7 157620.0 3.8521e-08 453670631100000.0 0.9999999996525674 3.8520999986616547e-08
48 15 6084.9 1663300000000.0 0.13530999999999999 710346567190000.0 0.9976639368685095 0.13499390729767802
49 15 6088.3 99375000000.0 0.01616 811812486400000.0 0.9998776037095595 0.016158022075946483
50 15 6104.1 1636200000000.0 0.26537 357702925600000.0 0.9954466411157761 0.2641616751528935
51 15 6107.9 715530000000.0 0.057990999999999994 1097384306600000.0 0.9993483925813017 0.05795321263418226
52 15 6116.3 849990000.0 0.00020638 391579100000000.0 0.9999978293321709 0.00020637955201757344
53 15 6131.4 210260000.0 3.395e-05 526971349000000.0 0.9999996010031351 3.3949986454056437e-05
54 15 6136.0 45054000000.0 0.0036345999999999995 418202245900000.0 0.9998922790415843 0.003634208477404542
55 15 6150.5 227050000.0 3.6548e-05 953295281300000.0 0.9999997618262144 3.654799129522449e-05
56 15 6158.3 1963000000.0 0.00047338 703966779800000.0 0.9999972115239205 0.0004733786799911935
57 15 6166.7 33408000000.0 0.0026818000000000002 1329629646300000.0 0.9999748748377328 0.002681732619339832
58 15 6168.0 2758800000.0 0.00044282 1125598523000000.0 0.9999975490433028 0.0004428189146673554
59 15 6202.5 106870000000.0 0.0085292 861315166900000.0 0.9998759376990347 0.008528141847822607
