BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 6116.6 44104000000000.0 10.708 378441107100000.0 0.8956229778574568 9.590330846897647
36 15 6131.1 24379000000000.0 3.9366 517994074300000.0 0.9550512347401019 3.759654690677885
37 15 6133.7 27198000000000.0 2.195 437420906720000.0 0.941461702038762 2.0665084359750825
38 15 6149.3 14035000000000.0 2.2595 900814822000000.0 0.9846586842315634 2.2248362970212177
39 15 6157.2 224580000000.0 0.05416699999999999 669071249000000.0 0.9996644533100774 0.05414882444244695
40 15 6162.2 6851500000000.0 0.5503899999999999 1136883165000000.0 0.9940095371683082 0.5470929091620651
41 15 6166.3 5124900000000.0 0.82283 1058308901000000.0 0.9951808001634133 0.8188646177984613
42 15 6190.6 41892000000.0 0.0033498000000000004 925719479700000.0 0.9999547485979858 0.0033496484168535332
43 15 6232.4 16969.0 4.0433e-09 695215412100000.0 0.9999999999755917 4.04329999990131e-09
44 15 6243.6 73082000000.0 0.011589 736136663000000.0 0.999900732093678 0.011587849584233634
45 15 6254.0 66986000000.0 0.0053021 736815461000000.0 0.9999090954055525 0.00530161801474978
46 15 6277.3 192470000000.0 0.030356 1197482729000000.0 0.9998392969979167 0.030351121699668762
47 15 6282.9 116910000000.0 0.0092109 1368253396000000.0 0.9999145626008636 0.009210113044660293
48 15 6300.7 90903000000.0 0.014284 885445378960000.0 0.9998973469502584 0.014282533703837492
49 15 6311.5 13752000000.0 0.0010785999999999999 715368552000000.0 0.9999807767120837 0.0010785792657616534
50 15 6412.6 7326800000.0 0.00056558 1040710000000000.0 0.99999295985585 0.0005655760182352716
