BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 4925.6 42547000000000.0 12.828 230388838010000.0 0.8441135458420777 10.828288566062172
36 15 4935.4 16103000000000.0 3.2302 258633311600000.0 0.941387434714327 3.040869691614219
37 15 4937.6 22110000000000.0 2.2166 247140927170000.0 0.9178832911277585 2.0345801031137896
38 15 4951.9 17794000000000.0 3.5575 603686762570000.0 0.9713683816592862 3.4556430177529105
39 15 4956.5 223870000000.0 0.06707300000000001 426643237900000.0 0.9994755510652921 0.06703782363660234
40 15 4961.8 8703700000000.0 0.8683200000000001 739079890000000.0 0.9883606699633513 0.8582133369425773
41 15 4963.6 8325000000000.0 1.6605 693091323600000.0 0.9881311573171377 1.6407917867251074
42 15 4980.0 73246000000.0 0.0072807 585041912100000.0 0.9998748178046902 0.007279788585990608
43 15 5021.7 12162.0 3.5964e-09 435898546700000.0 0.999999999972099 3.596399999899657e-09
44 15 5029.3 83923000000.0 0.016521 448946174400000.0 0.9998131016150456 0.016517912251782167
45 15 5035.7 57071000000.0 0.005610100000000001 445980624200000.0 0.9998720489308097 0.005609382181706736
46 15 5059.7 163220000000.0 0.031937 790273425200000.0 0.9997935065371891 0.03193040521827821
47 15 5063.5 154370000000.0 0.015091 882267292000000.0 0.9998250609582157 0.015088359994920433
48 15 5079.1 99631000000.0 0.01942 530508386900000.0 0.9998122323888088 0.019416353552990668
49 15 5085.6 21505000000.0 0.0020932 442097772630000.0 0.9999513592799769 0.0020930981852448475
50 15 5174.2 6332300000.0 0.00060582 652504665690000.0 0.9999902954892416 0.0006058141208132923
