BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 4554.3 151660000000000.0 16.484 20060174000000.0 0.1168189708449748 1.925643915408565
5 3 4565.9 89131000000.0 0.0096631 4834356000000.0 0.9818967735671893 0.009488166712657108
6 3 4569.7 764150000000.0 0.16555999999999998 15457150000000.0 0.9528921849666796 0.15776083014308345
7 3 4581.0 0.0 0.0 6578216000.0 1.0 0.0
8 3 4607.8 38362000000000.0 4.1213 329336400000000.0 0.8956699294856871 3.6913244803893623
9 3 4616.9 96945000000.0 0.020788 495598100000000.0 0.9998044261265513 0.020783934410318748
10 3 4624.4 214210000000.0 0.022931 19945656400000.0 0.9893744335527938 0.022687345135799113
11 3 4631.4 88467000000000.0 9.4555 177820000000000.0 0.6677757457179659 6.314153563636228
12 3 4632.6 821710000000.0 0.17561 9793269820000.0 0.9225895843483573 0.162015956907415
13 3 4634.6 115340000000000.0 24.639 715944300000.0 0.006168958464973689 0.15199696761848672
14 3 4638.7 21593000000000.0 6.9128 31475483396000.0 0.5931106634634379 4.100055394390053
15 3 4658.8 133840000000000.0 28.441999999999997 367322150000000.0 0.7329407258708583 20.84630012521895
16 3 4659.9 1040300000000.0 0.11051 725660400000000.0 0.9985684615413195 0.11035180068493122
17 3 4664.4 145380000000000.0 46.287 217910900000000.0 0.5998248235780197 27.7640916089558
18 3 4678.1 35166000000000.0 7.4423 643724554000000.0 0.9482007817124526 7.056794677738586
19 3 4698.4 25625000000000.0 2.6998 263956070000000.0 0.9115100997451249 2.4608949672918885
