BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 4644.8 77178000000000.0 2.0563 8358109000000.0 0.09771439334468675 0.20093010703467934
14 10 4646.7 69732000000000.0 5.5714 46774268000000.0 0.4014742623117925 2.2367737050439205
15 10 4659.9 69491000000000.0 9.2275 10759461184000.0 0.13407351216749364 1.2371633335255474
16 10 4661.8 1936900000000.0 0.15425 11408832946000.0 0.854867469037695 0.13186330709906444
17 10 4669.3 720690000000.0 0.095506 4987474658000.0 0.8737440064925331 0.08344779508407586
18 10 4675.7 6557200000000.0 1.2149 9620373013000.0 0.5946734411440607 0.7224687636459194
19 10 4678.0 6029500000000.0 0.47853 466981578180000.0 0.9872529412562605 0.47243014997935834
20 10 4708.4 3575100000000.0 0.093968 646219456600000.0 0.9944981071883605 0.09345099813627586
21 10 4712.0 45409000000000.0 3.5777 584256250000000.0 0.9278839033915243 3.3196902411638565
22 10 4714.0 121940000000000.0 16.006 359789580000000.0 0.7468704329927176 11.954408150481438
23 10 4717.9 150220000000000.0 27.581999999999997 230506700000000.0 0.605438756987624 16.699211795232642
24 10 4718.9 114760000000000.0 9.0287 354512769000000.0 0.7554513971809006 6.820744029727198
25 10 4725.8 41944000000000.0 5.4918 559089030000000.0 0.9302134859377029 5.108546422072677
26 10 4735.4 31295000000000.0 2.4535 164404539000000.0 0.8400864909548919 2.061152205557827
27 10 4737.3 4187600000000.0 0.10939000000000002 117615810000000.0 0.9656200101458572 0.10562917290985534
28 10 4745.5 96645000000000.0 12.602 219610380000000.0 0.6944083607368197 8.750934162005402
29 10 4749.8 26113000000000.0 2.0411 164231021000000.0 0.8628115563451294 1.7610846676560437
30 10 4751.3 327730000000.0 0.042681000000000004 12085902308000.0 0.9735991858089116 0.04155418684951016
31 10 4757.1 55525000000000.0 7.2223 86742111500000.0 0.6097130291423679 4.403530410374923
32 10 4767.7 3280500000000.0 0.25545 698440225800000.0 0.9953250632632233 0.2542557874105904
33 10 4775.2 56897000000000.0 1.4745 235308092500000.0 0.805284023241313 1.187391292269316
34 10 4780.6 407070000000.0 0.031613 327788479300000.0 0.9987596723938876 0.03157378952338797
35 10 4782.1 492410000000.0 0.06371399999999999 242813740000000.0 0.9979761711736428 0.06358505377015747
37 10 4792.6 148540000000.0 0.011507 834618842700000.0 0.9998220582127687 0.011504952423854329
38 10 4801.4 680120000000.0 0.08765 551996485400000.0 0.9987694069310067 0.08754213851750274
39 10 4806.2 2379500000000.0 0.061267999999999996 238034200000000.0 0.9901024775210397 0.06066159859275906
40 10 4808.2 1934500000000.0 0.14937 327599547000000.0 0.994129589893332 0.148493136842367
41 10 4816.0 1370900000000.0 0.17613 403356231000000.0 0.9966127795865506 0.17553340886857915
42 10 4831.3 129490000000.0 0.009951 713784308000000.0 0.9998186195583237 0.00994919508322488
