BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 6863.9 30652000000000.0 2.7632 119526921340000.0 0.79589678946618 2.1992220086529484
36 20 6890.8 142630000000000.0 7.6845 887842564000000.0 0.8615877753733189 6.620871259856269
37 20 6901.0 128580000000000.0 11.529000000000002 455731809800000.0 0.7799462584129341 8.99200041324272
38 20 6909.6 47199000000000.0 5.9175 472515245800000.0 0.9091827857684636 5.380089134784884
39 20 6918.1 27770000000000.0 1.4903 1343753830400000.0 0.9797524480548756 1.460125073336181
40 20 6925.8 54447000000000.0 0.9728899999999999 493624654000000.0 0.9006571502053999 0.8762403348633315
41 20 6927.5 50583000000000.0 4.5181 1011517780000000.0 0.9523745759795036 4.302923571732995
42 20 6929.8 49507000000000.0 2.6523 817095567100000.0 0.9428723132385006 2.500780236402475
43 20 6952.3 4791400000000.0 0.42644 833294782000000.0 0.99428292686014 0.42400201133023807
44 20 6961.6 0.0 0.0 496841347300000.0 1.0 0.0
45 20 6966.3 8570900000000.0 0.45678 1347900934400000.0 0.9936814758827697 0.45389382455373156
46 20 6980.2 1001800000.0 8.880200000000001e-05 552301914500000.0 0.9999981861403038 8.880183892563127e-05
47 20 6986.7 30899000000.0 0.0016419 534518461150000.0 0.9999421961706374 0.0016418050918925696
48 20 7018.1 20198000000.0 0.0017808 1576977476200000.0 0.9999871921180795 0.001780777191723876
49 20 7020.7 60590000000.0 0.003204 1316828443000000.0 0.9999539900489095 0.003203852584116706
50 20 7031.6 31106000000.0 0.0027373000000000002 942792115000000.0 0.9999670076008873 0.002737209689905909
51 20 7032.1 0.0 0.0 925410667300000.0 1.0 0.0
52 20 7039.2 793360000000.0 0.013947999999999999 1691956964000000.0 0.9995313189495512 0.013941462836708338
53 20 7039.3 60218000000.0 0.003176 1381843232300000.0 0.9999564238731824 0.003175861602221227
54 20 7057.5 22507000000.0 0.0019733 927660206800000.0 0.9999757384721466 0.0019732521247270867
55 20 7060.5 714680000000.0 0.03758 1056108270500000.0 0.9993237467073725 0.03755458640126306
56 20 7069.1 1796000000000.0 0.031441000000000004 885207282000000.0 0.9979752047862208 0.03137733841368357
57 20 7076.0 589880000000.0 0.051583000000000004 812937937800000.0 0.9992749110883569 0.05154559773867071
58 20 7077.3 274500000000.0 0.0144 1033607170400000.0 0.999734495728226 0.014396176738486454
59 20 7100.6 147160000000.0 0.0076946 1435940254000000.0 0.9998975271292225 0.007693811512248516
60 20 7118.2 98870000000.0 0.0017189 829998224000000.0 0.9998808934512424 0.0017186952677533407
61 20 7156.1 29875000.0 2.5832e-06 939543000000000.0 0.9999999682026272 2.5831999178610265e-06
62 20 7168.9 3147600000.0 0.00016301 1244225969800000.0 0.9999974702408455 0.00016300958762396022
63 20 7191.7 28172000000.0 0.00048477 945990800000000.0 0.9999702204703776 0.00048475556377742493
64 20 7200.8 25259000000.0 0.0013023 1623118084400000.0 0.9999844382197649 0.0013022797338935997
