BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 6755.3 16720000000000.0 1.2252 159103909480000.0 0.9049048559467852 1.1086894295060012
26 15 6777.9 1240800000000.0 0.18124 42745231500000.0 0.9717910446183352 0.1761274089266271
27 15 6786.9 41380000000000.0 9.0543 139646844310000.0 0.7714151171461693 6.9846238951765605
28 15 6803.9 8575300000000.0 0.62389 1255250516000000.0 0.993214808645751 0.6196567869659975
29 15 6807.4 111580000000000.0 16.227999999999998 790922343000000.0 0.8763659719385349 14.221666992618543
30 15 6807.7 0.0 0.0 46919308570000.0 1.0 0.0
31 15 6824.2 108270000000000.0 23.561 364651791300000.0 0.7710615116669081 18.16698027638402
32 15 6842.3 40520000000000.0 5.863 1181256436000000.0 0.9668351763824654 5.668554639130395
33 15 6849.3 70420000000000.0 5.0894 627791086000000.0 0.8991422487955169 4.576094561019904
34 15 6860.0 34938000000.0 0.005042199999999999 849935124000000.0 0.9999588950228225 0.0050419927404840754
35 15 6866.6 149630000000.0 0.010787 578689696190000.0 0.999741499940951 0.010784211559863038
36 15 6866.6 14793.0 3.1993e-09 485783199000000.0 0.9999999999695481 3.1992999999025754e-09
38 15 6877.6 205830000000.0 0.029629000000000003 1447862127600000.0 0.999857858880918 0.029624788500782723
39 15 6897.0 1051400000.0 7.5461e-05 518741100500000.0 0.9999979731741557 7.546084705369497e-05
40 15 6897.1 192230000000.0 0.027593 613264814300000.0 0.9996866447263323 0.027584353587933687
41 15 6899.9 100680.0 2.1669999999999998e-08 691498974500000.0 0.9999999998544032 2.1669999996844916e-08
42 15 6912.8 602420000000.0 0.086276 946968788000000.0 0.9993642483067088 0.08622114988690961
43 15 6926.0 175090000000.0 0.025029 559058175800000.0 0.9996869106136783 0.025021163685749755
44 15 6926.4 1274900.0 2.7335e-07 1106714183000000.0 0.9999999988480314 2.7334999968510936e-07
45 15 6932.2 2199100000.0 0.00031407 992840233000000.0 0.9999977850463186 0.0003140693043494973
46 15 6933.6 10217000000.0 0.00072941 1553025325700000.0 0.999993421270976 0.0007294052014092626
47 15 6945.6 141290.0 3.0209e-08 626288042400000.0 0.9999999997744009 3.020899999318488e-08
48 15 6952.2 1551700000000.0 0.11049 895460073800000.0 0.9982701453366364 0.11029886835824496
49 15 6960.7 110300000000.0 0.015688 1089257139100000.0 0.9998987485801015 0.015686411567724632
50 15 6979.1 1378000000000.0 0.19548 474473691100000.0 0.9971041397440145 0.19491391723715992
51 15 6982.2 633140000000.0 0.044888 1440368313500000.0 0.9995606250094597 0.044868277335424624
52 15 6987.2 870110000.0 0.00018493 528988451020000.0 0.9999983551463796 0.00018492969581722
53 15 7005.6 147080000.0 2.0785e-05 840790030700000.0 0.9999998250693171 2.0784996364065753e-05
54 15 7011.4 57854000000.0 0.0040846 594599684020000.0 0.9999027103899286 0.0040842026108587025
55 15 7027.6 32541000.0 4.5843e-06 1149963440800000.0 0.9999999717025795 4.584299870276135e-06
56 15 7037.6 1451200000.0 0.00030623 920149134000000.0 0.9999984228668402 0.00030622951703451247
57 15 7045.6 27203000000.0 0.0019112999999999999 1700806687000000.0 0.9999840060806878 0.0019112694308220186
58 15 7048.8 2708800000.0 0.00038046 1454460029000000.0 0.9999981375940892 0.00038045929142904717
59 15 7090.5 81476000000.0 0.0056881 1154354940200000.0 0.9999294235707946 0.005687698554213036
