BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 6986.0 44978000000000.0 9.5611 513043451600000.0 0.9193973638987609 8.790450135972442
36 15 7003.7 30733000000000.0 4.3443 827969491600000.0 0.9642099559502431 4.18881731163464
37 15 7006.6 30726000000000.0 2.1708 630338834600000.0 0.9535204439991248 2.0699021798333
38 15 7025.0 9800800000000.0 1.3812 1083277067000000.0 0.9910337586224313 1.368815827409302
39 15 7035.0 202720000000.0 0.042792000000000004 877521052200000.0 0.9997690389545997 0.04278211671494523
40 15 7039.9 5208400000000.0 0.36624 1475649661200000.0 0.9964828499526961 0.3649518789666754
41 15 7045.5 3681900000000.0 0.5173800000000001 1375392658000000.0 0.9973301661040432 0.5159986813389099
42 15 7077.1 26116000000.0 0.0018267 1209336490000000.0 0.9999784051533672 0.0018266605526936557
43 15 7117.0 20551.0 4.2881000000000005e-09 923100219000000.0 0.999999999977737 4.288099999904535e-09
44 15 7131.0 65714000000.0 0.0091234 1002719597000000.0 0.9999344685255367 0.009122802130145881
45 15 7144.6 76807000000.0 0.005321500000000001 1023706799000000.0 0.9999249773100977 0.0053211007667556855
46 15 7166.8 210720000000.0 0.029108999999999996 1522270080000000.0 0.9998615943137017 0.02910497114887754
47 15 7174.5 91475000000.0 0.0063114 1754343997900000.0 0.9999478607213471 0.0063110709281567106
48 15 7194.1 76850000000.0 0.010576 1215741589900000.0 0.999936791549233 0.010575331507424688
49 15 7208.5 9995100000.0 0.00068637 964843590500000.0 0.9999896408116743 0.0006863628897639089
50 15 7318.0 7422600000.0 0.0005021 1382121100000000.0 0.999994629587713 0.0005020973035159907
