BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 6508.1 154160000000000.0 11.725999999999999 36285930000000.0 0.1905314017474671 2.234171216890799
5 3 6522.7 180770000000.0 0.013719 21636810000000.0 0.9917144797910675 0.013605330948253655
6 3 6529.3 2072700000000.0 0.31428 74375090000000.0 0.9728873784317376 0.3057590452935265
7 3 6555.3 0.0 0.0 28557797000.0 1.0 0.0
8 3 6574.2 59121000000000.0 4.4516 539490600000000.0 0.9012364611711501 4.011944230549492
9 3 6596.2 1626400000000.0 0.2441 976034900000000.0 0.9983364381918359 0.24369392456262717
10 3 6598.5 750680000000.0 0.056316 116000253610000.0 0.9935702441360545 0.055953901868766046
11 3 6613.9 75288000000000.0 5.6349 494859700000000.0 0.8679500066386306 4.8908114924080195
12 3 6619.2 1473900000000.0 0.22045 39641744500000.0 0.9641523313589307 0.21254738144807628
13 3 6619.5 114880000000000.0 17.182000000000002 5032722000000.0 0.041969875389868974 0.7211263989487288
14 3 6628.7 48524000000000.0 10.870999999999999 144513073250000.0 0.748628596657404 8.138341474262639
15 3 6648.0 1491900000000.0 0.11109000000000001 1397881900000000.0 0.9989338802827379 0.11097156476060936
16 3 6650.2 127160000000000.0 18.930999999999997 827023700000000.0 0.8667342567264563 16.408146214088543
17 3 6668.5 120960000000000.0 26.938000000000002 371214200000000.0 0.7542333588392077 20.31753822041058
18 3 6688.0 45062000000000.0 6.6706 1240998845000000.0 0.964961222344033 6.436870329768107
19 3 6709.3 27686000000000.0 2.0427 570109048000000.0 0.9536864681421717 1.9480953484740142
