BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 7315.0 36893000000000.0 3.1207 161136010650000.0 0.8136990137005464 2.539310512055295
36 20 7341.9 142710000000000.0 7.2166 1042587822700000.0 0.8795998800749337 6.347720494548766
37 20 7355.0 124710000000000.0 10.492 508027830100000.0 0.8029041507123251 8.424070349273716
38 20 7364.6 47543000000000.0 5.5923 540123958900000.0 0.9190987356359265 5.139875859296792
39 20 7373.5 29907000000000.0 1.5058 1527469722100000.0 0.9807965538616291 1.4768834508048412
40 20 7381.8 54275000000000.0 0.90991 563523842000000.0 0.9121477796489622 0.8299723861803872
41 20 7383.5 50850000000000.0 4.2615 1185020416000000.0 0.958854909591104 4.0861601972224895
42 20 7385.9 50261000000000.0 2.5264 929335251700000.0 0.9486921270750306 2.3967757898423576
43 20 7412.2 3740500000000.0 0.31225 910830562000000.0 0.995910104577527 0.31097293015433286
44 20 7419.2 0.0 0.0 572192265500000.0 1.0 0.0
45 20 7426.9 7192000000000.0 0.35952 1522063613200000.0 0.995297058295604 0.3578291983984356
46 20 7440.1 1202200000.0 9.9982e-05 658436142380000.0 0.9999981741618851 9.99818174490536e-05
47 20 7447.1 36995000000.0 0.0018442999999999999 625666252250000.0 0.9999408745277213 0.0018441909548914763
48 20 7478.5 16121000000.0 0.0013338 1782670519800000.0 0.9999909569076073 0.0013337879383233666
49 20 7480.7 55281000000.0 0.0027435 1512402979000000.0 0.9999634495698414 0.0027433997238948595
50 20 7493.1 28445000000.0 0.0023489 1025853209000000.0 0.9999722726301917 0.0023488348711810576
51 20 7494.9 0.0 0.0 1053411151000000.0 1.0 0.0
52 20 7501.2 899300000000.0 0.014836000000000002 1872745512000000.0 0.9995200264243039 0.014828879112030974
53 20 7502.3 64595000000.0 0.0031966 1550735203200000.0 0.9999583472991969 0.0031964668529766128
54 20 7520.6 25533000000.0 0.0021008000000000003 1099953598700000.0 0.9999767877414542 0.002100751235687247
55 20 7525.0 681680000000.0 0.033632 1226248044000000.0 0.9994444017561351 0.03361331411986234
56 20 7532.6 1619100000000.0 0.0266 1073228208000000.0 0.998493646504067 0.02655993099700818
57 20 7541.0 563360000000.0 0.046225999999999996 932149329700000.0 0.9993959983538112 0.046198079419903275
58 20 7541.9 265170000000.0 0.013053 1220412281400000.0 0.9997827681672207 0.013050164472886731
59 20 7568.5 126790000000.0 0.0062194 1587335176800000.0 0.9999201303699543 0.006218903258822894
60 20 7588.1 76850000000.0 0.0012533 946114736000000.0 0.999918779662452 0.0012531982065509511
61 20 7624.1 34698000.0 2.8161e-06 1074086400000000.0 0.9999999676953373 2.8160999090268395e-06
62 20 7637.8 2325300000.0 0.00011303 1458594997300000.0 0.9999984057971559 0.00011302981980725252
63 20 7664.9 25529000000.0 0.00041218 1082004000000000.0 0.9999764063740261 0.00041217027517924604
64 20 7673.6 23449000000.0 0.0011345 1818565735400000.0 0.9999871059389327 0.0011344853716877192
