BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 2550.6 1503500000000.0 0.29179 2454272419000.0 0.6201145895145014 0.18094323607443635
26 15 2552.4 129630000000.0 0.050283 1703451739000.0 0.9292830225504745 0.04672713822290551
27 15 2554.1 2200000000000.0 1.2792 2273730722600.0 0.5082404068518847 0.6501411284449308
28 15 2558.2 0.0 0.0 238900953740.0 1.0 0.0
29 15 2569.7 120140000000000.0 46.286 75036103960000.0 0.38445333438656065 17.794807035416348
30 15 2570.0 128660000000000.0 74.343 61816294730000.0 0.32453536970374475 24.126932989885496
31 15 2572.0 7695700000000.0 1.4811 181812812600000.0 0.9593912701101533 1.4209544101601481
32 15 2576.1 11736000000000.0 4.5102 180051910550000.0 0.938807404667249 4.234209156530227
33 15 2580.1 79773000000000.0 15.305 78961500860000.0 0.49744384763361643 7.6133780880324995
35 15 2594.1 92.257 5.2814999999999994e-11 60563690713000.0 0.9999999999984767 5.281499999991954e-11
36 15 2594.2 3801300000.0 0.0014506999999999999 63303442570000.0 0.9999399547387057 0.0014506128923394402
37 15 2594.4 8130800000.0 0.0015514 61079207420000.0 0.9998668987676183 0.0015511935067480831
38 15 2597.0 3480000000.0 0.0013265999999999998 244340620000000.0 0.9999857577899364 0.0013265811062841294
39 15 2604.5 773.68 4.4114999999999997e-10 64005441560000.0 0.9999999999879123 4.411499999946675e-10
40 15 2604.7 1116700000.0 0.00042446 67215480770000.0 0.99998338654377 0.0004244529482523686
41 15 2604.7 169080000.0 3.2134e-05 62956438940000.0 0.9999973143406973 3.2133913699023965e-05
42 15 2619.4 59000000000.0 0.022299 173986568280000.0 0.9996610083176316 0.022291440824474866
43 15 2619.9 159000.0 9.012299999999999e-08 176520936150000.0 0.999999999099257 9.012299991882233e-08
44 15 2625.5 96233000000.0 0.036288 9402750300000.0 0.9898691263095494 0.03592037085552093
45 15 2629.0 77728000000.0 0.029271 159036253790000.0 0.9995114948471179 0.029256700965669985
46 15 2629.5 92190000000.0 0.017355000000000002 181916017940000.0 0.9994934843815924 0.01734620942144254
47 15 2632.4 32306.0 1.8226e-08 72162810590000.0 0.9999999995523179 1.8225999991840545e-08
48 15 2633.9 463130000.0 0.00017408 97241882650000.0 0.999995237362938 0.00017407917092014024
49 15 2641.5 2111200000000.0 0.39565 121614320000000.0 0.9829364224939204 0.3888987955597196
50 15 2642.9 2712000000000.0 1.0159 71288027500000.0 0.9633513649707766 0.9786686516738119
51 15 2645.8 713990000000.0 0.13359000000000001 205923424590000.0 0.996544720609205 0.1331284092261837
52 15 2656.1 240930000.0 0.00013471 60390250500000.0 0.999996010464656 0.0001347094625696938
53 15 2658.8 57877000.0 2.1550999999999997e-05 60657643830000.0 0.9999990458425168 2.1550979436952076e-05
54 15 2659.9 4247800000.0 0.00079054 60602229440000.0 0.9999299117818187 0.0007904845924599989
55 15 2674.2 3997200000.0 0.0014798 141934117310000.0 0.9999718384310388 0.0014797583265102512
56 15 2674.5 4930400000.0 0.0027377 121381232440000.0 0.9999593825203413 0.0027375888015259385
57 15 2678.8 1119500000.0 0.00041374 232322357760000.0 0.999995181287689 0.00041373800630596847
58 15 2680.3 7455600000.0 0.0013769 249980923620000.0 0.9999701762136973 0.0013768589356286398
59 15 2695.6 253280000000.0 0.046512 125160254710000.0 0.9979804412610993 0.04641806628393625
