BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 2410.6 147890000000000.0 30.369 6536800000000.0 0.0423294402266964 1.285502770244543
5 3 2418.7 14991000000.0 0.0030681 252270500000.0 0.9439088682806914 0.002896006798771989
6 3 2419.8 100790000000.0 0.041239 704972100000.0 0.8749134515013799 0.0360805558264654
7 3 2422.5 0.0 0.0 478474739.0 1.0 0.0
8 3 2447.5 16006000000000.0 3.2372 114031100000000.0 0.8769120504840542 2.8387396898269803
9 3 2449.6 1274500000000.0 0.5151 134296300000000.0 0.9905990080459804 0.5102575490444845
10 3 2456.4 15237000000.0 0.0030704 658394980000.0 0.9773808244673895 0.0030009500834446727
11 3 2458.2 170620000000.0 0.068714 581148959000.0 0.7730419725936037 0.053118806104796884
12 3 2460.2 2894200000000.0 1.747 1172534345300.0 0.2883233193373252 0.5037008388823071
13 3 2460.7 101350000000000.0 20.389 25267250000000.0 0.1995561426266958 4.068750192015701
14 3 2461.6 110670000000000.0 44.512 4506762000000.0 0.0391290909879894 1.741714098057384
15 3 2477.2 148880000000000.0 59.501999999999995 79903352200000.0 0.3492533500870698 20.781272836880827
16 3 2477.4 157820000000000.0 94.60600000000001 66300760000000.0 0.295826053775652 27.986919643499338
17 3 2480.5 251850000000.0 0.05026 207643290000000.0 0.9987885719695034 0.05019911362718724
18 3 2484.5 13085000000000.0 5.214 197285350000000.0 0.9378001700334672 4.8896900865544985
19 3 2501.7 22476000000000.0 4.4473 66689990000000.0 0.7479307973813782 3.326272635194204
