BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 2474.7 68751000000000.0 3.438 3039058000000.0 0.04233257479747404 0.14553939215371578
14 10 2475.4 66565000000000.0 9.9833 5425441023000.0 0.07536335304942281 0.7523749624983027
15 10 2478.5 65100000000000.0 16.253 3325022855000.0 0.04859366816794613 0.7897928887336284
16 10 2482.4 283920000000.0 0.042462 425623833680.0 0.5998555881636395 0.02547106798460446
17 10 2484.1 113030000000.0 0.028155 247555980100.0 0.6865380069168141 0.0193294775847429
18 10 2485.8 782400000000.0 0.27265 319637761400.0 0.290042476397488 0.0790800811897751
19 10 2492.4 2008400000000.0 0.29916 133918373600000.0 0.9852243973221182 0.29473973070288484
20 10 2515.8 580030000000.0 0.028532 188948900000000.0 0.9969396228850128 0.028444681320155183
21 10 2516.2 71457000000000.0 10.544 132388419700000.0 0.649454963937068 6.847853139752446
22 10 2516.3 126160000000000.0 31.022 84618947500000.0 0.40145825047352035 12.454037846189548
23 10 2516.6 146230000000000.0 50.336000000000006 63644450000000.0 0.30325010976800654 15.264397525282378
24 10 2517.9 77250000000000.0 11.39 123297500200000.0 0.6148044731399749 7.002622949064314
25 10 2520.0 22107000000000.0 5.4283 172559379900000.0 0.8864364765433232 4.811843125620122
26 10 2531.7 52751000000000.0 7.7358 62420152600000.0 0.5419773197615806 4.192628150211635
27 10 2536.2 1508100000000.0 0.073588 13271470000000.0 0.8979604954677302 0.06607911694047933
28 10 2536.9 48706000000.0 0.01188 358276327900.0 0.8803240419520928 0.010458249618390862
29 10 2537.3 105780000000000.0 25.796999999999997 51923360400000.0 0.32924701330587497 8.493585202251655
30 10 2538.2 5273700000000.0 0.7713800000000001 16377772800000.0 0.756427655120071 0.5834931646065205
31 10 2540.6 41796000000000.0 10.18 20696753800000.0 0.33118645829302534 3.371478145422998
32 10 2551.2 446900000000.0 0.06503400000000001 196575300630000.0 0.9977317277008835 0.06488648517929926
33 10 2554.1 58770000000000.0 2.8476 67544724990000.0 0.5347335791242654 1.5227073399142583
35 10 2559.4 68191000000.0 0.0098918 65163084958000.0 0.9989546272244635 0.009881459381578948
36 10 2559.4 113160000000.0 0.027358999999999998 63599895000000.0 0.9982239118811679 0.02731040800515687
37 10 2566.3 113600000000.0 0.016434999999999998 259217611520000.0 0.9995619501434704 0.016427800650607935
38 10 2572.6 1281400000000.0 0.30819 137853601000000.0 0.990790239761453 0.3053516439920822
39 10 2574.7 2840500000000.0 0.13652999999999998 63036980000000.0 0.9568820786708903 0.13064311020093664
40 10 2574.8 2704700000000.0 0.39 70435558300000.0 0.9630203657620936 0.3755779426472165
41 10 2576.6 1545200000000.0 0.37109000000000003 121775147000000.0 0.987470032013452 0.3664402541798719
42 10 2589.6 107090000000.0 0.015352000000000001 196332222400000.0 0.9994548443552789 0.015343630770542242
