BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 1090.3 25787000000000.0 35.124 6906369397000.0 0.21124679176181027 7.419832313841824
36 15 1090.6 4458600000000.0 4.0476 6900687831000.0 0.6074929990036626 2.4588886627672246
37 15 1090.7 10673000000000.0 4.8438 6902068830000.0 0.39271930578265624 1.9022537733500302
38 15 1098.8 1920200000.0 0.0025951999999999998 13976878320000.0 0.9998626348325106 0.0025948435099173313
39 15 1098.9 592220000000.0 0.53356 14271762810000.0 0.9601573812638176 0.5123015723471225
40 15 1100.3 20668000000000.0 18.597 29048745690000.0 0.5842849383410638 10.865946998328763
41 15 1100.5 5412800000000.0 2.4347 29259355900000.0 0.8438862580218152 2.054609872405713
42 15 1103.6 185060000.0 8.300799999999999e-05 15021644070000.0 0.9999876805947931 8.300697739081258e-05
43 15 1122.1 0.0 0.0 13827473402000.0 1.0 0.0
44 15 1122.4 93629000000.0 0.082588 13825777000000.0 0.9932734916992866 0.08203247113246068
45 15 1122.6 38357000000.0 0.016914 13823021000000.0 0.9972328148038384 0.016867195829592122
46 15 1134.4 73535000000.0 0.064176 27434140200000.0 0.9973267461003029 0.06400444125773304
47 15 1134.6 262340000000.0 0.11445999999999999 27709044100000.0 0.9906211291131639 0.11338649443829274
48 15 1143.2 21510000000.0 0.018629 15790763100000.0 0.9986396642744553 0.018603658305768826
49 15 1143.3 54731000000.0 0.023696000000000002 15512973400000.0 0.9964843243041023 0.02361269254871001
50 15 1175.5 100980000.0 4.2523e-05 20855964000000.0 0.9999951582429333 4.2522794113964254e-05
