BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 946.57 141350000000000.0 73.918 1088503500000.0 0.007641918956274347 0.5648753654098873
5 3 951.44 424430000.0 0.00022082 2314970000.0 0.84506461268891 0.0001866071677739651
6 3 951.57 4054200000.0 0.004218100000000001 5960241000.0 0.5951646227682603 0.002510463895298799
7 3 951.9 0.0 0.0 9846562.5 1.0 0.0
8 3 968.4 7362300000000.0 3.7634 18071130000000.0 0.710526657238131 2.673996021849982
9 3 968.67 4182500000000.0 4.2747 18727490000000.0 0.8174377204005764 3.494301023396344
10 3 973.04 363580000.0 0.00018497 4888152570.0 0.9307695136502352 0.00017216443693988403
11 3 973.28 7080000000.0 0.0072018 5679185400.0 0.4451056413052827 0.003205561807552385
12 3 973.51 118980000000.0 0.1815 7273090786.0 0.057607229579257964 0.01045571216863532
13 3 976.21 99375000000000.0 50.391000000000005 2048012000000.0 0.02019277439719499 1.0175340946490528
14 3 976.3 100630000000000.0 102.05 1385575000000.0 0.013581994710121469 1.3860425601678958
15 3 984.4 146720000000000.0 221.34 9547988000000.0 0.06110008916221536 13.523893735164748
16 3 984.53 146400000000000.0 147.22 9707445100000.0 0.06218438264607791 9.15478481315559
17 3 987.33 15389000000.0 0.0077157 30352091000000.0 0.999493240795746 0.007711789998007737
18 3 987.79 925310000000.0 0.9274100000000001 30232570000000.0 0.9703025366295781 0.8998682754956371
19 3 999.4 18349000000000.0 9.0884 9420708000000.0 0.3392440424652647 3.0831855555413115
