BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 985.17 58463000000000.0 7.3439 514862700000.0 0.008729761921331883 0.06411049857406921
14 10 985.25 58016000000000.0 21.862 540452146700.0 0.00922959173390524 0.20177733448663632
15 10 985.61 57263000000000.0 35.95 524750160300.0 0.009080647002943917 0.32644925975583383
16 10 988.35 12969000000.0 0.0048715 3079186500.0 0.1918713058325936 0.0009347010663634797
17 10 988.56 4628600000.0 0.0028972 2195736313.0 0.3217508944887781 0.0009321766915128878
18 10 988.75 32156000000.0 0.028173 2009546958.0 0.058817936105936 0.0016570777139125348
19 10 994.14 715390000000.0 0.26716 19053994820000.0 0.9638132391820172 0.2574923449798677
20 10 1007.8 125910000000000.0 108.23 8733595000000.0 0.06486454108715681 7.020289281862982
21 10 1007.8 30982000000.0 0.0038045 26874880000000.0 0.9988485037201187 0.0038001191324031915
22 10 1007.8 112130000000000.0 68.846 10846701884000.0 0.08820127485799178 6.072304968873302
23 10 1007.8 70401000000000.0 25.934 16870013200000.0 0.19330603119433018 5.013198612993759
24 10 1008.1 55987000000000.0 20.619 18798583400000.0 0.25136640707144636 5.182923947406152
25 10 1008.3 14077000000000.0 8.6386 24899882000000.0 0.6388371958536858 5.518659000101651
26 10 1016.8 49644000000000.0 18.125 9570017852000.0 0.16161743788302596 2.9293160616298457
27 10 1018.5 2182900000.0 0.0013261 2226952718.0 0.5049948060419555 0.0006696736122922372
28 10 1020.1 123680000000000.0 75.016 8878539662000.0 0.06697825492524774 5.024440771472385
29 10 1021.0 108210000000.0 0.013116999999999998 1217844540000.0 0.9183970215885691 0.01204661373217726
30 10 1021.1 154660000000.0 0.056230999999999996 1193518260000.0 0.8852822326329457 0.04978030522318316
31 10 1021.4 3158500000000.0 1.9135 1228360300000.0 0.28000898501372384 0.5357971928237606
32 10 1028.4 15229000000.0 0.0054979 27728720000000.0 0.9994510875146144 0.005494882134046599
33 10 1029.3 52049000000000.0 6.2582 9894052000000.0 0.1597281967959861 0.9996110011886403
35 10 1031.9 4971300000.0 0.0029811 8633357213000.0 0.9994245067211187 0.002979384396986327
36 10 1031.9 2801100000.0 0.0010077999999999999 8642109258000.0 0.9996759827593344 0.0010074734554248572
37 10 1035.7 5549000000.0 0.0019890999999999997 37558028787000.0 0.9998522771171728 0.0019888061644137683
38 10 1040.3 443880000000.0 0.26402 24456857700000.0 0.9821740220973453 0.25931358531414106
39 10 1040.9 2755100000000.0 0.98269 8719681636000.0 0.7598995704322264 0.7467457088680446
40 10 1041.0 2760900000000.0 0.32823 8674939000000.0 0.7585747753181905 0.24898699850268968
41 10 1041.0 2316800000000.0 1.3771 11619775000000.0 0.8337611644180869 1.1481724995201474
42 10 1049.5 117660000000.0 0.041621 27482016880000.0 0.9957369066126546 0.04144356579012529
