BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 4467.8 6533300000000.0 0.9048299999999999 12600946272000.0 0.6585546194437525 0.5958799763112905
36 20 4493.6 141710000000000.0 11.708 274986580900000.0 0.6599204157280859 7.72634822734443
37 20 4494.8 132990000000000.0 18.308 195606292500000.0 0.5952784525102334 10.898357908557353
38 20 4497.8 44466000000000.0 8.5642 189737412100000.0 0.8101394014660472 6.9381958620355215
39 20 4504.4 12244000000000.0 1.0092 564982024700000.0 0.9787882051812138 0.9877930566688811
40 20 4508.7 54253000000000.0 1.4891 200078499000000.0 0.7866839136586853 1.1714510158291482
41 20 4509.9 43116000000000.0 5.9156 302504191000000.0 0.875250343808762 5.177630933835113
42 20 4511.5 39762000000000.0 3.2721 356990011000000.0 0.8997812263136834 2.9441741506210035
43 20 4521.1 19488000000000.0 2.6672 465045073700000.0 0.9597798353553342 2.5599247768597473
44 20 4531.0 22083000000000.0 1.8094 579983347580000.0 0.9633213181757087 1.7430335931071272
45 20 4535.5 0.0 0.0 192955514700000.0 1.0 0.0
46 20 4543.3 234150000.0 3.189e-05 195386069000000.0 0.9999988016048401 3.188996178317835e-05
47 20 4546.7 7817700000.0 0.00063836 196377288100000.0 0.9999601919913012 0.000638334588159567
48 20 4577.9 52487000000.0 0.0070942999999999996 643099393600000.0 0.999918390971739 0.007093721041070807
49 20 4580.6 111800000000.0 0.0090619 504858635590000.0 0.9997786008999331 0.009059893703495104
50 20 4582.7 0.0 0.0 378645283600000.0 1.0 0.0
51 20 4584.7 42228000000.0 0.0056992 469414127000000.0 0.9999100491461022 0.0056986873520934655
52 20 4587.6 31626000000.0 0.0025594000000000003 628438805000000.0 0.9999496778234265 0.002559271205421278
53 20 4588.7 340850000000.0 0.0091925 754891488600000.0 0.9995486819319312 0.009188351258659277
54 20 4602.9 787930000000.0 0.063553 390240305620000.0 0.9979849792720193 0.06342493938767464
55 20 4606.0 3539600000.0 0.00047551 313917768300000.0 0.9999887245627777 0.0004755046384168464
56 20 4614.2 727260000000.0 0.097525 317412926000000.0 0.9977140266083833 0.09730206044498257
57 20 4614.3 2374000000000.0 0.063669 265729071000000.0 0.9911451965427133 0.06310522351867802
58 20 4616.5 402720000000.0 0.032387 289390171100000.0 0.9986103178774629 0.03234199236509739
59 20 4629.4 255290000000.0 0.020472999999999998 715116776910000.0 0.9996431367510578 0.020465693938704402
60 20 4636.9 432240000000.0 0.011536 355517389020000.0 0.99878567087936 0.011521991499264295
61 20 4677.0 17825000.0 2.3582e-06 377229790000000.0 0.9999999527476365 2.3581998885694765e-06
62 20 4683.9 14595000000.0 0.0011569 421732584600000.0 0.9999653939594478 0.0011568599642716852
63 20 4691.2 46013000000.0 0.0012138 378750600000000.0 0.9998785284809292 0.0012136525578701517
64 20 4702.0 31645000000.0 0.0024986 731768246440000.0 0.9999567573043258 0.0024984919538005887
