BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 4398.3 6911300000000.0 0.77785 24756821920000.0 0.7817584504234472 0.6080908106618784
26 15 4405.5 561540000000.0 0.12619 9498699470000.0 0.9441822432085705 0.1191463572704895
27 15 4410.5 13891000000000.0 4.6773 22443198385000.0 0.6176880014577484 2.8891120892183264
28 15 4420.1 0.0 0.0 4646941386000.0 1.0 0.0
29 15 4429.2 115340000000000.0 25.78 289704956500000.0 0.715241485792948 18.4389255037422
30 15 4429.3 11248000000000.0 1.2571 548284237100000.0 0.9798974942743295 1.2318291400522596
31 15 4432.9 128510000000000.0 43.052 182849109600000.0 0.5872611526764207 25.28276714502526
32 15 4444.3 28740000000000.0 6.4023 521012860000000.0 0.947721963647447 6.06760032786005
33 15 4449.8 75998000000000.0 8.4544 262595118500000.0 0.7755477124382255 6.556790580037734
34 15 4466.8 15056000000.0 0.0033371000000000004 273024684000000.0 0.9999448578437703 0.003336915985110446
35 15 4467.5 2120.7 7.0493e-10 197189607220000.0 0.9999999999892455 7.049299999924187e-10
36 15 4468.5 46723000000.0 0.005175899999999999 206766567560000.0 0.9997740812504192 0.005174730667144044
38 15 4473.4 32139000000.0 0.0071128 682493857700000.0 0.9999529116837228 0.007112465070223983
39 15 4485.1 10954000.0 1.209e-06 203736485730000.0 0.9999999462344735 1.2089999349974785e-06
40 15 4485.7 13910.0 4.6050000000000005e-09 223467964000000.0 0.9999999999377539 4.604999999713358e-09
41 15 4486.0 16025000000.0 0.0035365 239694336800000.0 0.9999331484885357 0.0035362635796297066
42 15 4502.7 332630000000.0 0.073137 496409908600000.0 0.9993303774608523 0.07308802581635435
43 15 4506.4 562100.0 1.8523e-07 541302359000000.0 0.9999999989615785 1.852299998076532e-07
44 15 4510.8 245740000000.0 0.053935000000000004 99219538300000.0 0.9975293891074349 0.053801747601509506
45 15 4515.9 11879000000.0 0.0026043000000000004 437755622900000.0 0.9999728645914819 0.0026042293312555967
46 15 4517.6 19027000000.0 0.0020848000000000004 604385499800000.0 0.9999685194283691 0.0020847343693042642
47 15 4522.2 116410.0 3.8227e-08 232699825080000.0 0.9999999994997418 3.822699998087663e-08
48 15 4528.2 45857000000.0 0.010026 404803607300000.0 0.9998867307381046 0.010024864362380237
49 15 4531.8 1830500000000.0 0.19995 410990538500000.0 0.9955658752115658 0.19906339674855258
50 15 4540.2 2192100000000.0 0.478 200550145010000.0 0.9891877492039616 0.47283174411949364
51 15 4544.4 839020000000.0 0.09139299999999999 600397077300000.0 0.9986045082725941 0.09126546182455718
52 15 4555.8 656120000.0 0.00021387 201619949000000.0 0.9999967457691161 0.00021386930401764086
53 15 4564.5 183530000.0 3.9808e-05 216611378670000.0 0.999999152722975 3.980796627159619e-05
54 15 4567.4 21714000000.0 0.0023534000000000003 204941201000000.0 0.9998940588837741 0.0023531506781770744
55 15 4582.0 1260900000.0 0.00027244 535042621100000.0 0.9999976433708665 0.00027243935795995885
56 15 4585.5 3189200000.0 0.0010328 384426074640000.0 0.999991704065481 0.0010327914319588286
57 15 4592.6 2524100000.0 0.00054411 644465068000000.0 0.9999960834337817 0.000544107868957155
58 15 4593.9 30120000000.0 0.0032455999999999995 757042926600000.0 0.9999602151996624 0.0032454708744520237
59 15 4617.4 170230000000.0 0.01825 435870417400000.0 0.9996096006163301 0.01824287521124802
