BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 4558.3 41949000000000.0 13.667 192967669310000.0 0.8214302964399542 11.226487861444854
36 15 4566.7 14104000000000.0 3.0576 208184170000000.0 0.9365508294930854 2.863597816258058
37 15 4568.8 20673000000000.0 2.2399 203414018590000.0 0.9077456600115499 2.0332595038598704
38 15 4583.0 17860000000000.0 3.8581 510362134250000.0 0.9661884672338492 3.7276517254349133
39 15 4586.7 212270000000.0 0.068727 362249319700000.0 0.9994143655327018 0.068686751099966
40 15 4592.0 9007400000000.0 0.9709899999999999 633022477000000.0 0.9859704348307142 0.9573674325162751
41 15 4593.2 9719900000000.0 2.0951 596388784300000.0 0.9839634371660165 2.061501797206521
42 15 4607.5 82757000000.0 0.0088911 492447220370000.0 0.9998319757094951 0.008889606079230693
43 15 4648.6 0.0 0.0 368276663200000.0 1.0 0.0
44 15 4655.1 87274000000.0 0.018561 376858411400000.0 0.9997684706222134 0.018556702583218905
45 15 4660.5 55014000000.0 0.0058433 374435931830000.0 0.9998530965818732 0.00584244159925686
46 15 4684.4 154000000000.0 0.032547 676536777700000.0 0.999772421902182 0.03253959301565031
47 15 4687.8 167050000000.0 0.01764 748824378000000.0 0.999776966739865 0.01763606569329122
48 15 4702.8 98442000000.0 0.020724 442619114780000.0 0.9997776415267648 0.020719391843000673
49 15 4708.2 24683000000.0 0.0025951999999999998 373174638310000.0 0.9999338610801505 0.0025950283562752065
50 15 4792.5 5793000000.0 0.00059836 551317642850000.0 0.9999894925562323 0.0005983537127659472
