BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 4206.0 151170000000000.0 17.792 17528243000000.0 0.1039029375071796 1.8486410641277398
5 3 4217.1 73693000000.0 0.0086502 3399598000000.0 0.9787829467787179 0.008466668246225266
6 3 4220.4 600660000000.0 0.1409 10666540000000.0 0.9466895058222096 0.13338855137034933
7 3 4229.8 0.0 0.0 4742242100.0 1.0 0.0
8 3 4257.1 34407000000000.0 4.0009 292433200000000.0 0.8947283718465476 3.579718742920852
9 3 4264.6 9482000000.0 0.0022011999999999995 423101500000000.0 0.9999775898040859 0.0022011506706767535
10 3 4272.3 156380000000.0 0.018119 13127411200000.0 0.9882277583526005 0.017905698753590767
11 3 4278.6 91018000000000.0 10.53 139651200000000.0 0.605417628361307 6.375047626644562
12 3 4279.1 698140000000.0 0.16153 7028862060000.0 0.9096493058266377 0.1469356523701768
13 3 4281.3 115080000000000.0 26.611 1537007000000.0 0.013179955818965581 0.3507318042984931
14 3 4284.5 17245000000000.0 5.9774 21427836840000.0 0.5540797777171808 3.3119564633266765
15 3 4304.3 135810000000000.0 31.236 304669810000000.0 0.6916771281752959 21.605226775683544
16 3 4305.9 912090000000.0 0.10486 623556000000000.0 0.9985394129586349 0.10470684284284246
17 3 4308.4 149070000000000.0 51.38399999999999 190537100000000.0 0.5610515798992424 28.829074381542664
18 3 4321.0 32433000000000.0 7.4311 556407560000000.0 0.9449205740854536 7.021799278086414
19 3 4341.0 25202000000000.0 2.8738 221870130000000.0 0.897997398573445 2.580664924020366
