BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 888.24 13948000000.0 0.009716200000000001 1565233207.0 0.10089664650265964 0.0009803319967491416
36 20 898.59 27606000000000.0 26.614 4931732492000.0 0.15156964282045643 4.033874474023627
37 20 898.66 53631000000000.0 36.928000000000004 4932415099000.0 0.08422348817366396 3.110204971277063
38 20 898.66 66745000000000.0 27.574 4935745600000.0 0.06885734179640006 1.8986723426939354
39 20 900.91 2065200000000.0 0.85104 20637188310000.0 0.9090315973896756 0.7736222506425096
40 20 901.37 33176000000000.0 22.775 5477841760000.0 0.14171532532294404 3.2275665342300504
41 20 901.43 31884000000000.0 13.132 6458987399000.0 0.16845289939949887 2.212123474914219
42 20 901.45 36846000000000.0 5.0583 5460362900000.0 0.12906717868673132 0.652860509951093
43 20 904.99 38735000000000.0 26.484 15719350359000.0 0.2886702394825645 7.645142622456238
44 20 907.74 34337000000000.0 14.043 16308683323000.0 0.3220152686851724 4.522060418145876
45 20 910.52 0.0 0.0 4953477516800.0 1.0 0.0
46 20 910.73 328410.0 2.2313000000000001e-07 4952971000000.0 0.9999999336943466 2.2312998520521958e-07
47 20 910.83 25139000.0 1.0247e-05 4951294000000.0 0.999994922767187 1.0246947973595365e-05
48 20 925.16 31107000000.0 0.020805 20690294300000.0 0.9984987984379222 0.02077376750150097
49 20 925.32 75411000000.0 0.030257 20733713400000.0 0.9963760608783713 0.03014735047399688
50 20 925.4 112230000000.0 0.015008 20779113600000.0 0.994627918522196 0.014927375801181118
51 20 926.27 0.0 0.0 10048266900000.0 1.0 0.0
52 20 926.34 103060000000.0 0.068841 10100808114000.0 0.9898999086573259 0.06814569961187897
53 20 926.37 177740000000.0 0.071232 10083161215000.0 0.9826779347860626 0.06999811465068081
54 20 933.56 331600000000.0 0.13187000000000001 10575794189000.0 0.9695986049230333 0.12786096803120042
55 20 935.84 370830000000.0 0.24519000000000002 10409358611000.0 0.9656007873905278 0.23675565706028354
56 20 938.03 271600000000.0 0.17915999999999999 5792249184000.0 0.9552099678341868 0.1711354178371729
57 20 938.23 696770000000.0 0.27571999999999997 5766977280600.0 0.8922033969225167 0.24599832059947627
58 20 938.29 1083600000000.0 0.14292 5759102710000.0 0.8416415200361671 0.120287406043569
59 20 943.14 1490800000000.0 0.19562000000000002 10944700000000.0 0.8801174058140002 0.17216856692533475
60 20 943.16 228860000000.0 0.090087 21194951365000.0 0.9893174936942412 0.0891246450544331
61 20 959.96 19605000.0 1.2637000000000001e-05 9929348101000.0 0.9999980255540352 1.2636975048926344e-05
62 20 960.17 44795000000.0 0.017321 9932594000000.0 0.9955103484488778 0.017243234745483012
63 20 960.34 69145000000.0 0.0089104 9930288346000.0 0.9930851081648882 0.00884878554779242
64 20 966.34 24954000000.0 0.009587299999999998 20969066129000.0 0.9988113758181297 0.009575904303381153
