BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 867.13 39644000000.0 0.022631000000000002 135764589980.0 0.7739905439949082 0.017516180001148768
26 15 867.27 2461400000.0 0.0028098000000000003 134837451130.0 0.9820726832035218 0.002759427825265256
27 15 867.4 43649000000.0 0.07472899999999999 136676494950.0 0.7579432680215139 0.0566403424759797
28 15 868.39 0.0 0.0 559291962.15 1.0 0.0
29 15 875.9 98548000000000.0 167.08 5638971020000.0 0.05412357192837028 9.042966397792107
30 15 875.98 98318000000000.0 111.12 5710841104000.0 0.05489670982963986 6.100122396269581
31 15 877.7 457310000000.0 0.25792 17646239840000.0 0.9747392083850004 0.2514047366266593
32 15 877.97 543380000000.0 0.61273 17640706330000.0 0.9701178277457067 0.5944202965946268
33 15 880.27 68754000000000.0 38.663000000000004 6616760954000.0 0.08778949383353468 3.3942052000859517
35 15 887.49 0.0 0.0 5333149000000.0 1.0 0.0
36 15 887.52 68846000.0 7.6798e-05 5336988200000.0 0.9999871003814637 7.679700933509565e-05
37 15 887.52 142830000.0 7.9664e-05 5334010338000.0 0.9999732234910582 7.966186687619166e-05
38 15 887.8 62146000.0 6.9303e-05 23184604000000.0 0.9999973195214626 6.930281423479593e-05
39 15 892.58 0.80484 1.3391e-12 5717054073000.0 0.9999999999998592 1.3390999999998116e-12
40 15 892.61 9447900.0 1.0479e-05 5720664758800.0 0.9999983484638946 1.0478982693553152e-05
41 15 892.66 12462000.0 6.910700000000001e-06 5714418900000.0 0.9999978192055848 6.910684929184036e-06
42 15 900.14 1179700000.0 0.0012975 16004129393000.0 0.9999262932072636 0.0012974043654364244
43 15 900.16 4770.0 7.8694e-09 16021599000000.0 0.9999999997022769 7.869399997657098e-09
44 15 904.94 6637900000.0 0.007262 722143926000.0 0.9908917871395986 0.007195856158207765
45 15 905.3 124790000000.0 0.068235 16450228500000.0 0.99247119995673 0.06772127232904748
46 15 905.3 116740000000.0 0.12766 16256707740000.0 0.9928701638253741 0.12674980511394726
47 15 907.85 793.19 1.2975000000000001e-09 6644974000000.0 0.999999999880633 1.2974999998451215e-09
48 15 907.96 495770.0 5.4059e-07 6700850841000.0 0.9999999260138787 5.405899600038426e-07
49 15 913.02 2404900000000.0 2.6077 7012951960000.0 0.744644531447912 1.94180954465672
50 15 913.04 2358900000000.0 1.2789 7460872400000.0 0.7597805831019057 0.9716833877290271
51 15 914.06 62360000000.0 0.033770999999999995 22985703800000.0 0.997294349731885 0.033679627484795485
52 15 919.51 13432000.0 2.1693e-05 5321642603500.0 0.9999974759736612 2.1692945246296632e-05
53 15 919.76 3067100.0 3.3014e-06 5323713000000.0 0.9999994238798686 3.301398097996998e-06
54 15 919.85 91062000.0 4.9005e-05 5325171221700.0 0.9999828999971929 4.900416201436244e-05
55 15 928.2 5383600000.0 0.0086134 10930490504000.0 0.9995077119625919 0.008609159726218589
56 15 928.29 5370000000.0 0.0057271 11010525186000.0 0.9995125225949113 0.005724308168153316
57 15 930.02 33340000.0 3.5490999999999996e-05 23136947827000.0 0.9999985590168502 3.549094885806703e-05
58 15 930.21 135620000.0 7.2171e-05 23212396703000.0 0.9999941574664016 7.217057833850767e-05
59 15 939.34 272750000000.0 0.14373 11201634202000.0 0.9762296612002535 0.1403134892043124
