BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 921.57 23296000000000.0 37.539 4564252068900.0 0.16382666092224663 6.149889024360216
36 15 921.79 3984900000000.0 4.2799 4560470000000.0 0.5336773012754276 2.2840854817287024
37 15 921.87 9737300000000.0 5.2286 4559655616300.0 0.31892493329849353 1.6675309062445034
38 15 929.03 708140000.0 0.0011319000000000001 9251602320000.0 0.9999234634415846 0.0011318133682695296
39 15 929.09 342050000000.0 0.36449000000000004 9380870130000.0 0.9648202396577745 0.35166732915286225
40 15 930.2 18903000000000.0 20.119 19377123890000.0 0.506192820735931 10.184093360386195
41 15 930.37 4909100000000.0 2.6119 19480595370000.0 0.7987223733003928 2.0861829668232956
42 15 933.17 87148000.0 4.6228999999999994e-05 9963061527000.0 0.9999912529660208 4.622859563336617e-05
43 15 949.62 0.0 0.0 9148457000000.0 1.0 0.0
44 15 949.8 88554000000.0 0.092306 9147860000000.0 0.9904125129081481 0.09142101741649952
45 15 949.93 36020000000.0 0.01877 9145788000000.0 0.996077025352741 0.018696365765870946
46 15 960.32 68134000000.0 0.070242 18233767800000.0 0.9962772174856713 0.06998050431062852
47 15 960.44 251520000000.0 0.12964 18362402500000.0 0.9864875337264352 0.12788824387229505
48 15 968.42 18168000000.0 0.018573 10470209700000.0 0.9982677969348873 0.01854082779247166
49 15 968.53 52027000000.0 0.026591000000000004 10338304100000.0 0.9949927485948932 0.026457852177886806
50 15 996.9 51893000.0 2.5768e-05 13825878000000.0 0.999996246690067 2.576790328470965e-05
