BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 766.64 20486000000000.0 39.684 2873912564100.0 0.12302753943166246 4.882224874806092
36 15 766.78 3475500000000.0 4.4874 2871814000000.0 0.4524455541351822 2.0303041796262167
37 15 766.82 8671800000000.0 5.598 2870216835400.0 0.24867550241279213 1.3920854625068102
38 15 773.04 181290000.0 0.00034826 5834484470000.0 0.9999689288114423 0.0003482491791478729
39 15 773.08 193760000000.0 0.24814 5889378390000.0 0.9681480203839321 0.2402362497780689
40 15 773.92 16756000000000.0 21.434 12310905370000.0 0.4235368441631941 9.078088717793902
41 15 774.03 4350900000000.0 2.7825 12359466830000.0 0.7396286961104372 2.0580168469272917
42 15 776.53 53009000.0 3.3791e-05 6310381035700.0 0.9999915997854308 3.37907161483495e-05
43 15 790.91 0.0 0.0 5768362000000.0 1.0 0.0
44 15 791.02 82134000000.0 0.1028 5767386300000.0 0.9859588486255872 0.10135656963871037
45 15 791.1 33215000000.0 0.020784 5766155700000.0 0.9942726544450763 0.020664962849986465
46 15 800.05 62267000000.0 0.077053 11556136000000.0 0.9946406575843513 0.07664004658884702
47 15 800.12 236160000000.0 0.14611 11610021600000.0 0.9800644622905325 0.14319721858526968
48 15 807.45 15245000000.0 0.018692 6619407600000.0 0.9977022157874551 0.01864904981749911
49 15 807.52 48263000000.0 0.029586 6562552000000.0 0.9926993872918846 0.0293700040724177
50 15 832.11 24077000.0 1.4323e-05 8738463000000.0 0.9999972447175595 1.4322960536089604e-05
