BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 5599.7 15427000000000.0 1.7047 42591168517000.0 0.7341005344648253 1.2514211811021878
36 20 5626.4 142670000000000.0 9.4139 518771371820000.0 0.7843043902629888 7.3833630994967505
37 20 5630.6 135290000000000.0 14.868 312079470800000.0 0.6975877684320518 10.371734941047746
38 20 5636.2 45992000000000.0 7.069 307294183700000.0 0.8698165902829219 6.148733476709975
39 20 5643.6 20241000000000.0 1.3315 892653904700000.0 0.9778276777580968 1.3019775529349058
40 20 5649.6 54645000000000.0 1.197 322427355000000.0 0.855080863724417 1.0235317938781272
41 20 5651.2 48281000000000.0 5.2865 586864641000000.0 0.9239843637689391 4.884643339064497
42 20 5653.1 45750000000000.0 3.0046 546439203910000.0 0.9227442856135671 2.7724774805545236
43 20 5667.3 10083000000000.0 1.1009 635053335000000.0 0.9843707454487121 1.083693753664487
44 20 5679.2 14231000000000.0 0.9302799999999999 909531239900000.0 0.9845945207702573 0.9159485907821548
45 20 5680.8 0.0 0.0 316909093800000.0 1.0 0.0
46 20 5693.2 519470000.0 5.6458999999999996e-05 329676213870000.0 0.9999984243049403 5.6458911037832624e-05
47 20 5698.1 16506000000.0 0.0010755 328939037990000.0 0.9999498230070855 0.0010754460346441206
48 20 5729.7 34803000000.0 0.0037585 1040778367400000.0 0.9999665617221325 0.003758374322232635
49 20 5732.9 81600000000.0 0.0052845 839517815400000.0 0.9999028107946442 0.005283986403644297
50 20 5738.2 0.0 0.0 608362187600000.0 1.0 0.0
51 20 5739.8 38175000000.0 0.0041154 697817855000000.0 0.9999452967397874 0.004115174874202921
52 20 5744.5 42205000000.0 0.0027276999999999996 957636384400000.0 0.9999559298908139 0.002727579789963173
53 20 5745.6 517570000000.0 0.011148 1179319793000000.0 0.9995613208936832 0.01114310960532278
54 20 5762.1 784500000000.0 0.050547 654618709100000.0 0.9988030269167018 0.050486496601558524
55 20 5762.6 12581000000.0 0.0013509 543042751800000.0 0.9999768329316736 0.001350868703607398
56 20 5772.8 2215900000000.0 0.047503 490296978000000.0 0.9955008283052449 0.047289275846984044
57 20 5775.6 664950000000.0 0.07124 523005336250000.0 0.9987302124686858 0.07114954033626918
58 20 5777.8 319400000000.0 0.020524 574963741400000.0 0.9994447951330144 0.02051260497530999
59 20 5794.1 209450000000.0 0.01342 1046750920900000.0 0.9997999446723853 0.01341731525750341
60 20 5806.2 210860000000.0 0.0044944 551676811000000.0 0.9996179294971059 0.0044926828223317925
61 20 5847.0 20240000.0 2.1418999999999998e-06 610903910000000.0 0.9999999668687677 2.1418999290362135e-06
62 20 5856.8 7350600000.0 0.00046595 742825508850000.0 0.9999901046380669 0.0004659453892561073
63 20 5870.1 36816000000.0 0.00077616 614197800000000.0 0.9999400619909055 0.0007761134785148612
64 20 5880.2 29681000000.0 0.0018739999999999998 1123120851900000.0 0.9999735734444043 0.0018739504766348135
