BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 5512.7 11505000000000.0 1.0331 67946197130000.0 0.8551941265129682 0.8835010521005474
26 15 5525.8 893220000000.0 0.16003 20961013640000.0 0.9591282854062139 0.15348929951355642
27 15 5532.9 26328000000000.0 7.0664 61412187811000.0 0.6999322584456645 4.946001311080444
28 15 5547.2 0.0 0.0 15780586440000.0 1.0 0.0
29 15 5550.9 10405000000000.0 0.9279 852953833500000.0 0.9879482324193999 0.9167171648619611
30 15 5552.5 112900000000000.0 20.13 495875837900000.0 0.814545859130261 16.39680814429215
31 15 5561.0 120090000000000.0 32.07 268609186400000.0 0.6910464333300184 22.161859116893687
32 15 5575.7 35543000000000.0 6.311 801521471000000.0 0.9575385155727151 6.043025571779404
33 15 5581.9 73344000000000.0 6.5043 418590898720000.0 0.850907101344428 5.534555059274563
34 15 5597.4 23612000000.0 0.004176300000000001 507166930570000.0 0.9999534455041682 0.004176105574459059
35 15 5600.0 6406.7 1.699e-09 319018207800000.0 0.9999999999799175 1.6989999999658799e-09
36 15 5601.1 88878000000.0 0.0078549 350750433900000.0 0.9997466703502561 0.007852910120934226
38 15 5608.4 83505000000.0 0.014740999999999999 1014860941000000.0 0.9999177245608574 0.014739787177751597
39 15 5623.2 155310000.0 1.3672e-05 332178786500000.0 0.9999995324507955 1.3671993607667277e-05
40 15 5624.5 60438000000.0 0.010638 391022098100000.0 0.999845459731844 0.010636356000627357
41 15 5624.9 41604.0 1.0984000000000001e-08 396282083900000.0 0.9999999998950142 1.0983999998846837e-08
42 15 5640.3 542310000000.0 0.095189 703628162900000.0 0.999229859784142 0.09511569112299269
43 15 5648.2 879390.0 2.3121e-07 815101131000000.0 0.9999999989211278 2.3120999975055395e-07
44 15 5650.7 230180000000.0 0.040327999999999996 268060418600000.0 0.9991420496983453 0.04029340058023487
45 15 5656.4 232510000.0 4.0696e-05 671497957050000.0 0.9999996537444127 4.0695985908782615e-05
46 15 5658.4 208160000.0 1.8211e-05 998180812200000.0 0.9999997914606712 1.8210996202290283e-05
47 15 5665.4 154320.0 4.045e-08 385384634970000.0 0.9999999995995689 4.044999998380256e-08
48 15 5674.2 1711700000000.0 0.14933 627415763000000.0 0.9972792476872051 0.14892371005713032
49 15 5675.4 89028000000.0 0.01553 692438314100000.0 0.9998714447869596 0.015528003537541482
50 15 5690.0 1774400000000.0 0.30874 310088461320000.0 0.9943103196305914 0.3069833680827488
51 15 5694.1 753650000000.0 0.06551799999999999 950945445900000.0 0.9992081005401321 0.06546611633118837
52 15 5703.7 818950000.0 0.00021323 334434840000000.0 0.9999975512479663 0.00021322947785260384
53 15 5717.0 220490000.0 3.8182e-05 417203118300000.0 0.9999994715047088 3.8181979820992794e-05
54 15 5721.2 38496000000.0 0.0033308 350648830140000.0 0.999890226999579 0.003330434368090198
55 15 5735.4 400450000.0 6.9124e-05 846944417100000.0 0.9999995271828911 6.912396731699016e-05
56 15 5742.1 2249500000.0 0.00058178 610862900940000.0 0.9999963175178705 0.0005817778576055467
57 15 5750.6 34746000000.0 0.0029909000000000003 1166016943800000.0 0.9999702020070774 0.002990810877182968
58 15 5751.1 2746300000.0 0.00047276 984979365000000.0 0.9999972118275363 0.0004727586818635861
59 15 5782.6 121420000000.0 0.010394 735346042400000.0 0.9998349077203174 0.01039228403084498
