BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 5293.2 152620000000000.0 14.273 25799720000000.0 0.14460128062077443 2.0638940783003132
5 3 5306.0 123830000000.0 0.011553 9245026000000.0 0.9867828046455192 0.011400301742069683
6 3 5310.8 1185300000000.0 0.22096 30589680000000.0 0.9626970654269491 0.21271754357673867
7 3 5326.8 0.0 0.0 12208392500.0 1.0 0.0
8 3 5351.6 46615000000000.0 4.3118 408133800000000.0 0.8974928575952262 3.8698097033790964
9 3 5364.9 524390000000.0 0.096772 663881600000000.0 0.999210738602763 0.09669562159606658
10 3 5371.1 376940000000.0 0.034739 43090096900000.0 0.9913281413484156 0.03443774830230261
11 3 5380.5 83126000000000.0 7.6477 277456800000000.0 0.7694676507032504 5.884657752283249
12 3 5383.2 1083700000000.0 0.19931 17973851360000.0 0.943135401839998 0.18797631694073
13 3 5384.6 115480000000000.0 21.232 41479947530.0 0.00035906696788199255 0.007623709862070466
14 3 5390.8 31726000000000.0 8.7399 62511536370000.0 0.6633400954431169 5.797526100163298
15 3 5411.3 1270500000000.0 0.11623 961434600000000.0 0.9986802812200746 0.11607660908620927
16 3 5411.4 130540000000000.0 23.881999999999998 519933150000000.0 0.7993153137835128 19.089248323777852
17 3 5420.8 136390000000000.0 37.365 276358200000000.0 0.6695564026687457 25.017974985717686
18 3 5436.8 39861000000000.0 7.2586 848084666000000.0 0.9551087397277752 6.93275229818803
19 3 5457.6 26459000000000.0 2.3999 366076210000000.0 0.9325945817701297 2.238133736790134
