BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 476.84 1408200000.0 0.0018273 41171664.940000005 0.02840656122645008 5.190730932909224e-05
36 20 483.25 18433000000000.0 33.043 1046603690000.0 0.05372818187965917 1.775340313849578
37 20 483.27 42595000000000.0 32.722 1046216923600.0 0.023973138178789738 0.7844490274863578
38 20 483.28 33533000000000.0 42.934 1046026774000.0 0.030250324303126668 1.2987674236304403
39 20 484.19 30231000000.0 0.023180000000000003 4750841360000.0 0.9936769415470633 0.02303343150506093
40 20 484.83 23403000000000.0 29.869 1196292319300.0 0.048631168074758736 1.4525643592249686
41 20 484.84 24403000000000.0 18.686 1200791094000.0 0.04689895686117333 0.8763539079078849
42 20 484.86 25537000000000.0 6.518 1195345190000.0 0.04471531328449077 0.29145441198831085
43 20 486.94 26983000000000.0 34.288000000000004 3418271020000.0 0.11243842462215581 3.855288703444479
44 20 488.52 23978000000000.0 18.223 3586509810000.0 0.13011331725909622 2.3710549804125103
45 20 490.56 0.0 0.0 1057633000000.0 1.0 0.0
46 20 490.61 12815.0 1.6162e-08 1057327000000.0 0.999999987879814 1.6161999804113555e-08
47 20 490.62 2037300.0 1.5416e-06 1056998000000.0 0.999998072563928 1.5415970286645514e-06
48 20 499.24 21675000000.0 0.026864 4555343340000.0 0.9952643842803567 0.026736782419307503
49 20 499.27 62743000000.0 0.046656 4556769800000.0 0.9864178317678869 0.04602231035896254
50 20 499.28 88078000000.0 0.021831 4556790430000.0 0.9810375683773673 0.021417031155246305
51 20 500.65 0.0 0.0 2157374300000.0 1.0 0.0
52 20 500.67 85727000000.0 0.10595 2157503900000.0 0.9617841391182691 0.10190102953958062
53 20 500.68 143040000000.0 0.10607 2157429890000.0 0.9378213987404113 0.09947471576439541
54 20 505.26 238710000000.0 0.1754 2316279400000.0 0.9065710409600917 0.15901256058440008
55 20 506.54 303530000000.0 0.37078 2259303600000.0 0.881564686837257 0.32686655458551817
56 20 508.81 188060000000.0 0.2287 1252709937500.0 0.869472568031008 0.19884837630869154
57 20 508.86 545470000000.0 0.39798 1250662890000.0 0.6963086623284316 0.2771169214334692
58 20 508.86 768160000000.0 0.18681 1250680572000.0 0.6195043775848983 0.11572961277663485
59 20 511.17 1186100000000.0 0.28715999999999997 2422045000000.0 0.6712715259503151 0.19276233139189247
60 20 511.6 176780000000.0 0.12829000000000002 4644847000000.0 0.963336027444678 0.12358637896087775
61 20 522.26 3921800.0 4.6464999999999995e-06 2138014200000.0 0.9999981656843971 4.646491476852551e-06
62 20 522.3 41803000000.0 0.029713999999999997 2138122000000.0 0.9808236521898689 0.02914419400116976
63 20 522.34 63207000000.0 0.014975 2137400000000.0 0.9712774702616142 0.014544880117167673
64 20 525.88 22100000000.0 0.015602000000000001 4600390908600.0 0.9952190279143905 0.015527407273520323
