BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 1598.2 333810000000.0 0.10339000000000001 572531492700.0 0.6316951141610246 0.06531095785310834
26 15 1598.8 27313000000.0 0.016913 524935408100.0 0.950542184279046 0.016076519962711505
27 15 1599.4 414480000000.0 0.38485 565051102000.0 0.5768587652258131 0.2220040957971542
28 15 1601.6 0.0 0.0 18011824516.0 1.0 0.0
29 15 1611.7 118150000000000.0 108.86 22464573080000.0 0.15975992095228428 17.391464994865668
30 15 1611.8 115610000000000.0 71.01100000000001 24030796026000.0 0.17209008190934158 12.220288806464257
31 15 1614.2 3046500000000.0 0.93425 68127314700000.0 0.9571963367027453 0.8942606775645399
32 15 1615.5 3559600000000.0 2.1814 68178454040000.0 0.9503805888292534 2.073160216472133
33 15 1618.6 78493000000000.0 24.005 26861085350000.0 0.2549600735535217 6.1203165656522875
35 15 1629.2 0.0 0.0 21540252255000.0 1.0 0.0
36 15 1629.3 752970000.0 0.00045755 21635118633000.0 0.9999651980741143 0.000457534076378811
37 15 1629.3 1532500000.0 0.0004656 21580229460000.0 0.9999289909691877 0.0004655669381952538
38 15 1630.8 615430000.0 0.00037362 90660190000000.0 0.9999932117302832 0.00037361746376666843
39 15 1636.7 49.453 4.4871e-11 22719990633000.0 0.9999999999978234 4.487099999990233e-11
40 15 1636.7 141730000.0 8.572799999999999e-05 22959021230000.0 0.9999938268655418 8.572747078952916e-05
41 15 1636.8 71510000.0 2.1626e-05 22640000685000.0 0.9999968414411675 2.1625931693006688e-05
42 15 1648.1 11709000000.0 0.0070339 63447527722000.0 0.9998154878532294 0.00703260216001083
43 15 1648.2 42471.0 3.8266e-08 63705686270000.0 0.9999999993333248 3.826599997448901e-08
44 15 1653.5 24910000000.0 0.014915000000000001 2450952020000.0 0.9899388577397379 0.014764938063188193
45 15 1655.6 110570000000.0 0.066117 62988657800000.0 0.9982476806158316 0.06600114189927693
46 15 1655.7 120590000000.0 0.036054 65067507000000.0 0.9981501224065492 0.03598730451324573
47 15 1658.3 7836.6 7.0178e-09 26189669600000.0 0.9999999997007751 7.0177999979001e-09
48 15 1658.7 72666000.0 4.3371e-05 28479543000000.0 0.9999974484908486 4.33708893384966e-05
49 15 1665.8 2390400000000.0 0.71035 35732398000000.0 0.9372973620666563 0.6658091811440493
50 15 1666.0 2696900000000.0 1.6027 27006173400000.0 0.9092046818293221 1.4571823435678546
51 15 1667.8 342650000000.0 0.1017 83631960600000.0 0.9959196000130068 0.10128502332132279
52 15 1675.8 75422000.0 6.6838e-05 21412572210000.0 0.9999964776892005 6.683776457579078e-05
53 15 1676.7 17159000.0 1.0132e-05 21432587218000.0 0.9999991993973435 1.0131991888293885e-05
54 15 1677.2 886770000.0 0.00026173 21452951755000.0 0.9999586661380448 0.0002617191816883105
55 15 1689.0 5519100000.0 0.0048528 43643082059000.0 0.9998735560853395 0.004852186392970935
56 15 1689.1 5298400000.0 0.0031055 45663180724000.0 0.9998839812469863 0.003105139703762516
57 15 1692.0 284470000.0 0.00016645 89377643290000.0 0.999996817223143 0.00016644947022679217
58 15 1692.7 1444200000.0 0.00042234 91197103050000.0 0.9999841642214318 0.0004223333119172795
59 15 1705.0 275700000000.0 0.08004700000000001 44375222900000.0 0.993825435576831 0.0795527446416186
