BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 1679.3 31708000000000.0 28.041 19419657220000.0 0.3798268545033873 10.650724827129483
36 15 1680.2 5772700000000.0 3.4016 19407391152000.0 0.7707434828113604 2.6217610311311237
37 15 1680.5 12881000000000.0 3.7944 19436302295000.0 0.6014209390864628 2.2820316112696744
38 15 1691.2 14759000000.0 0.01296 39093810358000.0 0.999622614679026 0.012955109086240176
39 15 1691.3 2460700000000.0 1.4405 41708209100000.0 0.9442888663057336 1.360248111913409
40 15 1693.5 23398000000000.0 13.677999999999999 78748115030000.0 0.7709359774169768 10.544862299109408
41 15 1694.1 6701200000000.0 1.9581 80055442800000.0 0.9227586524360069 1.806853717334945
42 15 1698.1 3298900000.0 0.0009617 42606747700000.0 0.9999225792914294 0.0009616255445045677
43 15 1722.9 0.0 0.0 38748600820000.0 1.0 0.0
44 15 1723.6 102500000000.0 0.058877 38775991997000.0 0.9973635808711946 0.05872177555095332
45 15 1724.2 43422000000.0 0.012467 38756756484000.0 0.9988808814367206 0.012453047948871596
46 15 1740.0 88517000000.0 0.050364 76002626739000.0 0.9988366977331341 0.05030541144463156
47 15 1740.5 271450000000.0 0.077203 77759407000000.0 0.9965212479980836 0.07693442990919604
48 15 1750.8 34940000000.0 0.019758 44146396800000.0 0.9992091683382472 0.01974237474802709
49 15 1751.3 56567000000.0 0.015989 42389642000000.0 0.9986673250372018 0.01596769186001982
50 15 1795.0 482930000.0 0.00013318 58233418094000.0 0.9999917070642442 0.00013317889554681603
