BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 1491.4 144760000000000.0 48.048 2644400100000.0 0.017939763658384848 0.8619697642580751
5 3 1497.6 2784100000.0 0.00092025 23483440000.0 0.8940098692150084 0.0008227125821451114
6 3 1498.0 19926000000.0 0.013169 61944660000.0 0.7566161064293362 0.009963877505567929
7 3 1498.9 0.0 0.0 65526923.5 1.0 0.0
8 3 1519.5 9746700000000.0 3.1752 45312250000000.0 0.8229770091874254 2.6131165995719132
9 3 1520.3 3019900000000.0 1.9667 48879520000000.0 0.9418124518539899 1.8522625490612419
10 3 1525.7 2108900000.0 0.00068423 51126408000.0 0.9603853141978628 0.0006571244435336036
11 3 1526.3 37491000000.0 0.024318 56721002000.0 0.6020570712423667 0.014640823858471874
12 3 1527.0 570040000000.0 0.55437 87538335360.0 0.13312229228488187 0.07379900517396996
13 3 1529.4 102010000000000.0 33.016999999999996 6502574000000.0 0.05992461297618836 1.9785309466348109
14 3 1529.7 105560000000000.0 68.322 2885492000000.0 0.026607763465170135 1.817895615467354
15 3 1540.7 153790000000000.0 148.24 24775900000000.0 0.13874933567943262 20.568201521119093
16 3 1540.9 151360000000000.0 97.25 26297292700000.0 0.14802259057502795 14.395196933421468
17 3 1544.1 62541000000.0 0.020049 77901050000000.0 0.9991978178634691 0.02003291705034469
18 3 1545.4 3793500000000.0 2.4302 76693776000000.0 0.9528683266656955 2.3156606074629735
19 3 1559.7 20336000000000.0 6.4545 24305140000000.0 0.5444560779585826 3.514191755183672
