BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 1540.9 63446000000000.0 5.0957 1253555000000.0 0.019375017339763774 0.09872927585823427
14 10 1541.1 62535000000000.0 15.065 1491750969000.0 0.02329887033815389 0.35099748164428834
15 10 1542.1 61377000000000.0 24.627 1305610712000.0 0.020828914066753332 0.5129536667219343
16 10 1545.6 59885000000.0 0.014385 34131963327.0 0.36304047821972046 0.005222337279190679
17 10 1546.1 23286000000.0 0.0093191 22519701280.0 0.491635334700851 0.004581598847610701
18 10 1546.7 153930000000.0 0.08621000000000001 23958137990.0 0.13468091948518124 0.011610842068817476
19 10 1553.1 1095100000000.0 0.26178 49755898397000.0 0.9784645329586172 0.2561424454379068
20 10 1570.9 137130000000000.0 75.62 23169900000000.0 0.14454095105486653 10.930186718769008
21 10 1570.9 123690000000000.0 48.72 28380233910000.0 0.18662583189551957 9.092410529949714
22 10 1571.0 89754000000000.0 21.211 40122137786000.0 0.3089261697334286 6.552632986215754
23 10 1571.0 132120000000.0 0.010408 70171210000000.0 0.9981207149078145 0.010388440400760535
24 10 1571.7 48373000000000.0 11.427 53599569723000.0 0.5256273316304451 6.006343518541096
25 10 1572.4 14120000000000.0 5.5563 65733009560000.0 0.823175105386723 4.573807838060249
26 10 1582.7 53703000000000.0 12.597999999999999 24617441860000.0 0.31431694300198626 3.9597648479390224
27 10 1585.3 10320000000.0 0.004028 26462972810.0 0.7194354014476406 0.0028978857970310967
28 10 1587.0 120090000000000.0 46.823 21468568290000.0 0.151658557650986 7.101108644892117
29 10 1587.2 425790000000.0 0.033198000000000005 3541359200000.0 0.8926710394456553 0.029634893167516867
30 10 1587.8 913410000000.0 0.21358000000000002 3605396200000.0 0.7978647546336464 0.17040795429465422
31 10 1588.5 18077000000000.0 7.0416 5000158000000.0 0.21667130761942177 1.5257126797329204
32 10 1597.5 84102000000.0 0.019546 72608646247000.0 0.9988430482815943 0.019523386221712045
33 10 1599.0 56334000000000.0 4.36 25473680000000.0 0.31138494576548315 1.3576383635375067
35 10 1602.6 24236000000.0 0.0093576 22981189990000.0 0.9989465094012806 0.009347741856373423
36 10 1602.6 13742000000.0 0.0031835 23071648699000.0 0.999404731755283 0.0031816049635429436
37 10 1607.9 28603000000.0 0.0066045 97644095580000.0 0.9997071546049628 0.006602565902588477
38 10 1613.3 1150000000000.0 0.44109 52896172000000.0 0.9787218972696161 0.43170444166665495
39 10 1614.2 2854900000000.0 0.65663 23514020760000.0 0.8917323910984365 0.5855382399669664
40 10 1614.3 2882500000000.0 0.22096999999999997 22898090000000.0 0.8881910770855128 0.19626358230358573
41 10 1614.7 1742300000000.0 0.66766 42016335000000.0 0.9601838585687145 0.6410763550119879
42 10 1625.5 114040000000.0 0.026048 72011822680000.0 0.9984188750641921 0.02600681485767208
