BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 1849.9 217610000000.0 0.072786 98410776600.0 0.3114060336753188 0.022665999567091758
36 20 1866.8 36619000000000.0 16.993 27237201600000.0 0.42653964560272245 7.248188197727062
37 20 1866.9 85868000000000.0 28.461 27376825100000.0 0.24174901657382664 6.88041876070768
38 20 1866.9 101160000000000.0 20.117 27740443730000.0 0.2152082873206103 4.329345116028717
39 20 1871.0 12937000000000.0 2.567 81826732200000.0 0.8634815271659383 2.216557080234964
40 20 1871.8 36615000000000.0 12.104000000000001 30286344856000.0 0.45270158501580243 5.479499985031273
41 20 1872.0 47442000000000.0 3.1363 29387513700000.0 0.3825029247842291 1.1996439230007776
42 20 1872.4 24550000000000.0 4.8678 63217013750000.0 0.720282154410204 3.5061894712379913
43 20 1877.9 43767000000000.0 14.421 84134263160000.0 0.6578063506280699 9.486225382407396
44 20 1882.7 39749000000000.0 7.8383 87426353310000.0 0.6874473003970458 5.388418174702164
45 20 1886.9 0.0 0.0 27301396400000.0 1.0 0.0
46 20 1888.0 7698200.0 2.5230000000000002e-06 27307708107000.0 0.9999997180943271 2.5229992887519876e-06
47 20 1888.6 350430000.0 6.888699999999999e-05 27331072865000.0 0.9999871784942841 6.888611676493574e-05
48 20 1911.5 76234000000.0 0.024677 101476280130000.0 0.9992493144984829 0.024658475333879062
49 20 1912.3 161110000000.0 0.03128 84914554764000.0 0.9981062739803807 0.03122076425010631
50 20 1912.4 0.0 0.0 55048421460000.0 1.0 0.0
51 20 1912.8 65092000000.0 0.021057 64999090036000.0 0.9989995724534894 0.021035933997153124
52 20 1913.1 95843000000.0 0.0186 82165910210000.0 0.998834902050345 0.018578329178136416
53 20 1913.1 150310000000.0 0.0097231 112186472000000.0 0.9986619698613051 0.009710090199158455
54 20 1924.1 494460000000.0 0.09540499999999999 56785830130000.0 0.9913677113213323 0.0945814364986117
55 20 1928.1 222580000000.0 0.07142799999999999 54415837450000.0 0.9959263095384546 0.07113702443771273
56 20 1930.0 536290000000.0 0.17194 33676771550000.0 0.9843249923946078 0.16924483919232888
57 20 1931.0 722750000000.0 0.13896 31563166190000.0 0.9776140780473234 0.13584925228545605
58 20 1931.2 1584400000000.0 0.10153 31380011800000.0 0.9519360451624985 0.09665006666534848
59 20 1939.2 269560000000.0 0.051609 113895219270000.0 0.9976388514765794 0.051487143485854786
60 20 1940.2 1469900000000.0 0.09375499999999999 57923805130000.0 0.9752515860597902 0.09143471245103563
61 20 1966.6 30345000.0 9.5476e-06 54367554006000.0 0.9999994418549149 9.547594671053985e-06
62 20 1967.8 40082000000.0 0.0075622 54690722800000.0 0.9992676519165675 0.007556661837323467
63 20 1968.6 67648000000.0 0.0042525 54419748999000.0 0.9987584651914783 0.0042472203732267615
64 20 1978.0 28009000000.0 0.005257199999999999 112786609340000.0 0.999751725437606 0.005255894770970581
