BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 1815.5 509500000000.0 0.13892000000000002 811356270800.0 0.6142653737098797 0.0853337457157765
26 15 1816.3 42766000000.0 0.023311000000000002 709102490300.0 0.9431203720441376 0.021985078992720893
27 15 1817.1 655380000000.0 0.53563 790134016000.0 0.5466111066750113 0.2927813070683363
28 15 1819.6 0.0 0.0 36633039692.0 1.0 0.0
29 15 1830.3 121500000000000.0 98.58 29731519520000.0 0.19659605097116067 19.38043870473702
30 15 1830.4 117780000000000.0 63.706 32608170672000.0 0.21682669937597124 13.813161710445625
31 15 1832.8 4132300000000.0 1.1161 89395451100000.0 0.9558173916147974 1.0667877907812755
32 15 1834.6 5078100000000.0 2.7404 89390493080000.0 0.9462456268857561 2.593091515917726
33 15 1837.9 79397000000000.0 21.384 36058541040000.0 0.31231537884792715 6.6785520612840745
35 15 1849.4 0.0 0.0 28624115964000.0 1.0 0.0
36 15 1849.5 1231900000.0 0.00065943 28862028536000.0 0.9999573194441171 0.0006594018551610342
37 15 1849.5 2468200000.0 0.00066062 28707422500000.0 0.9999140296274274 0.000660563206252471
38 15 1851.3 987480000.0 0.00052808 119504330000000.0 0.9999917369367253 0.0005280756364415459
39 15 1857.5 107.66 8.6073e-11 30149219004000.0 0.9999999999964291 8.607299999969264e-11
40 15 1857.6 247530000.0 0.00013192 30655155470000.0 0.9999919254038186 0.00013191893479927176
41 15 1857.7 102470000.0 2.7305e-05 29987461860000.0 0.9999965829168761 2.7304906696545303e-05
42 15 1869.9 18373000000.0 0.0097278 83927897267000.0 0.999781133814027 0.009725670913516091
43 15 1870.0 62361.0 4.9522000000000005e-08 84392906205000.0 0.9999999992610635 4.9521999963406395e-08
44 15 1875.4 36579000000.0 0.01931 3386017920000.0 0.9893125013388956 0.019103624400854075
45 15 1877.9 104470000000.0 0.055075 81965957000000.0 0.9987270688868233 0.05500489331894179
46 15 1878.0 115790000000.0 0.030519 86229737000000.0 0.9986589924918751 0.030478073791859538
47 15 1880.7 11809.0 9.3242e-09 34614590102000.0 0.9999999996588432 9.324199996818987e-09
48 15 1881.3 62591000.0 3.2938e-05 39312616600000.0 0.9999984078673525 3.2937947558334856e-05
49 15 1888.6 2328600000000.0 0.61032 50263603600000.0 0.9557234753327583 0.583297151465089
50 15 1889.0 2726300000000.0 1.4289 35419983200000.0 0.928530389560994 1.3267770736437043
51 15 1891.1 444640000000.0 0.11639000000000001 107399985700000.0 0.9958770314504416 0.11591012769051691
52 15 1899.7 105350000.0 8.235399999999999e-05 28455007060000.0 0.9999962976776025 8.235369509894126e-05
53 15 1901.0 24163000.0 1.2584e-05 28492221506000.0 0.9999991519446982 1.2583989328072083e-05
54 15 1901.5 1377600000.0 0.00035863 28520145640000.0 0.9999516996343987 0.00035861267803988434
55 15 1914.1 5432900000.0 0.0042151 57850591820000.0 0.999906096209923 0.004214704186134447
56 15 1914.2 5087200000.0 0.0026311 61767221710000.0 0.9999176459470308 0.0026308833182512328
57 15 1917.4 430390000.0 0.00022222 116997546440000.0 0.9999963213893808 0.0002222191825391482
58 15 1918.4 2297500000.0 0.00059284 120493571660000.0 0.9999809329563244 0.0005928286962938273
59 15 1931.3 272580000000.0 0.069866 58866603120000.0 0.9953908730959826 0.06954397873972391
