BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 1753.6 64866000000000.0 4.5777 1607951000000.0 0.024189189536815706 0.11073085294268126
14 10 1754.0 63723000000000.0 13.488 2058627538000.0 0.031294870848411205 0.4221052180033703
15 10 1755.3 62447000000000.0 22.013 1691177218000.0 0.026367715631391238 0.5804325241938154
16 10 1758.9 92233000000.0 0.019468 68163322485.0 0.42496811291527287 0.008273279222234533
17 10 1759.7 36322000000.0 0.012772 43602824540.0 0.5455479544803765 0.0069677384746233695
18 10 1760.5 240420000000.0 0.1183 48708652620.0 0.16846705498959136 0.019929652605268657
19 10 1767.1 1261900000000.0 0.26511999999999997 65393303830000.0 0.9810682448257394 0.2601008130682
20 10 1786.4 125090000000000.0 43.328 38122267500000.0 0.23357476790156106 10.120327543638838
21 10 1786.4 199140000000.0 0.013796000000000001 92237270000000.0 0.9978456541096739 0.013766278644097062
22 10 1786.4 139920000000000.0 67.85300000000001 30602000000000.0 0.1794607147464843 12.176947877693202
23 10 1786.4 86728000000000.0 18.025 55218097177000.0 0.3890075054909447 7.011860286474278
24 10 1787.3 54454000000000.0 11.311 68288818500000.0 0.5563569366789471 6.292953310775571
25 10 1788.3 15730000000000.0 5.4427 85975072810000.0 0.8453371148026614 4.600916314736446
26 10 1799.0 54256000000000.0 11.197000000000001 32077804100000.0 0.37155555039419375 4.160307497763788
27 10 1802.1 15912000000.0 0.0054635 53952079300.0 0.772243473907771 0.004219152219695107
28 10 1803.6 616580000000.0 0.042306 4951717100000.0 0.8892695578330402 0.0376214379136846
29 10 1803.6 115980000000000.0 39.79 27201038450000.0 0.189976541198916 7.559166574304867
30 10 1804.4 1500800000000.0 0.30879 5209715900000.0 0.7763510254107289 0.23972943313657896
31 10 1805.4 25032000000000.0 8.5791 7664368400000.0 0.234410387913295 2.0110301589469493
32 10 1814.9 134460000000.0 0.027505 95539784330000.0 0.9985946060933993 0.02746634464059895
33 10 1816.7 57260000000000.0 3.9005 33347182886000.0 0.36804127248892293 1.435544983343044
35 10 1820.7 37550000000.0 0.012761 30393461500000.0 0.9987660613910254 0.012745253709410875
36 10 1820.7 21453000000.0 0.0043744 30585632246000.0 0.9992990838615446 0.0043713339124439405
37 10 1826.4 43818000000.0 0.008907 128060844760000.0 0.9996579515604198 0.008903953374548659
38 10 1832.1 1250500000000.0 0.42233999999999994 67684562000000.0 0.9818597392427093 0.41467864227176576
39 10 1833.2 2847400000000.0 0.57667 31491030560000.0 0.9170783302100922 0.5288515606822539
40 10 1833.3 2891600000000.0 0.1952 30230390000000.0 0.9126984821866078 0.17815874372282584
41 10 1834.0 1651800000000.0 0.5573100000000001 57456073000000.0 0.9720544841801362 0.5417356845784318
42 10 1845.4 112270000000.0 0.022586000000000002 94862518720000.0 0.9988178968175334 0.02255930101752081
