BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 3161.7 1684800000000.0 0.32974000000000003 1889393990900.0 0.5286209969885381 0.1743074875470006
36 20 3184.4 131570000000000.0 15.339 103716812600000.0 0.4408101391399443 6.761586724267606
37 20 3184.5 117470000000000.0 22.826 91518952500000.0 0.43791287245195415 9.995799226588305
38 20 3185.3 41759000000000.0 11.357000000000001 89690234920000.0 0.682318424862537 7.749090351163834
39 20 3190.8 7669000000000.0 0.89231 270335674650000.0 0.9724141329290413 0.867694854953913
40 20 3193.4 52504000000000.0 2.0347 95369228000000.0 0.644939109600015 1.3122576063031506
41 20 3193.6 36430000000000.0 7.0583 112541777700000.0 0.7554570364773193 5.332242400567863
42 20 3194.9 30737000000000.0 3.5717 189715904050000.0 0.8605733948824341 3.07370999450159
43 20 3201.9 34231000000000.0 6.6151 257286273440000.0 0.8825764264461488 5.8383313185839185
44 20 3209.3 33043000000000.0 3.8226 281798866910000.0 0.8950489008202788 3.4214139282755975
45 20 3214.6 0.0 0.0 90256941150000.0 1.0 0.0
46 20 3218.3 65012000.0 1.25e-05 90462888610000.0 0.9999992813411746 1.2499991016764682e-05
47 20 3220.1 2415900000.0 0.00027854 90783555870000.0 0.9999733890605245 0.0002785325877889185
48 20 3249.0 76381000000.0 0.014547 305042390100000.0 0.9997496679744592 0.014543358420024457
49 20 3250.6 156070000000.0 0.017825999999999998 233134326900000.0 0.9993310054675465 0.01781407450346448
50 20 3251.0 0.0 0.0 180232270460000.0 1.0 0.0
51 20 3252.4 44417000000.0 0.0084505 233895064200000.0 0.999810134656313 0.008448895542913172
52 20 3253.8 42633000000.0 0.0048645 311252389470000.0 0.9998630463164437 0.00486383378880634
53 20 3254.4 218810000000.0 0.0083207 364521104070000.0 0.9994000930757526 0.008315708354455414
54 20 3267.3 687450000000.0 0.078115 183038913200000.0 0.9962582941934596 0.0778227166509221
55 20 3271.8 5826000000.0 0.0011017999999999998 150031975830000.0 0.9999611697856877 0.0011017572168698705
56 20 3275.6 766800000000.0 0.14485 140888478400000.0 0.9945868589673394 0.14406590652141912
57 20 3277.2 2153500000000.0 0.081322 110112606000000.0 0.9808178970775027 0.07976207302613668
58 20 3277.4 561570000000.0 0.063613 112276424970000.0 0.995023218906457 0.06329641202429645
59 20 3288.1 278010000000.0 0.031389999999999994 363011108170000.0 0.9992347417357271 0.03136597854308447
60 20 3291.6 921570000000.0 0.034649 180048334400000.0 0.9949076063058361 0.034472553650890914
61 20 3326.9 23571000.0 4.3841e-06 178478948360000.0 0.9999998679340218 4.384099421009546e-06
62 20 3330.5 27047000000.0 0.003015 185355299420000.0 0.9998541015338175 0.0030145601161244598
63 20 3333.6 57577000000.0 0.0021375 178917370640000.0 0.9996782957572597 0.002136812357181143
64 20 3344.6 30827000000.0 0.0034219000000000003 361677061330000.0 0.9999147737691253 0.00342160836436057
