BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 3024.8 71178000000000.0 2.9121 4305026000000.0 0.057033034155254986 0.16608589876351806
14 10 3025.8 67923000000000.0 8.3339 10382592868000.0 0.13259069356006245 1.1049975810602044
15 10 3030.7 66544000000000.0 13.585999999999999 4878839162000.0 0.0683092302020353 0.9280492015248515
16 10 3034.6 535790000000.0 0.06555 1227127959700.0 0.6960777459597856 0.04562789624766394
17 10 3037.3 211350000000.0 0.043057 663330573400.0 0.7583689332684567 0.03265309115973994
18 10 3040.0 1550900000000.0 0.44193999999999994 952902539600.0 0.38058214436999205 0.16819447288287426
19 10 3045.9 2799500000000.0 0.34123000000000003 201431406760000.0 0.9862924762739764 0.336552581678969
20 10 3071.8 1061100000000.0 0.042749 284074145390000.0 0.9962786080740434 0.042589914216557286
21 10 3072.7 61501000000000.0 7.4309 217365245020000.0 0.7794605797643627 5.792093622171003
22 10 3073.1 125400000000000.0 25.249000000000002 134888941500000.0 0.5182277077261079 13.0847313923765
23 10 3073.9 148940000000000.0 41.975 96843990000000.0 0.3940207415462659 16.53902062640451
24 10 3075.4 91243000000000.0 11.015 171393500600000.0 0.6525882739392546 7.1882598374408895
25 10 3078.4 27076000000000.0 5.4423 255637144300000.0 0.9042280115166191 4.921080107076897
26 10 3090.3 48596000000000.0 5.8381 88029349000000.0 0.6443119790310654 3.761557764781263
27 10 3094.4 2327300000000.0 0.093078 25339321000000.0 0.9158805840438556 0.085248333001634
28 10 3096.7 102240000000000.0 20.43 78378268700000.0 0.43394430288878083 8.865482108017792
29 10 3097.6 91309000000.0 0.01824 1085558837300.0 0.9224135479736761 0.016824823115039852
30 10 3098.1 10055000000000.0 1.2049 34919661800000.0 0.7764296695611839 0.9355201088542705
31 10 3101.6 48297000000000.0 9.6351 33718595100000.0 0.41112418996518385 3.961222682733543
32 10 3112.7 870630000000.0 0.10384000000000002 296977907840000.0 0.9970769371361907 0.10353646915222206
33 10 3116.5 58857000000000.0 2.3372 101059176970000.0 0.6319509313242182 1.4769957166909629
34 10 3122.5 130080000000.0 0.015465999999999999 103389120810000.0 0.9987434215200449 0.015446565757229013
36 10 3122.6 201480000000.0 0.039924 97531952000000.0 0.9979384741139552 0.039841695640525546
37 10 3130.3 162610000000.0 0.019286 384705761100000.0 0.999577491910974 0.019277851508995046
38 10 3137.2 1166900000000.0 0.23016 213480755000000.0 0.9945636489716135 0.22890876944730656
39 10 3139.9 2750000000000.0 0.10837999999999999 96459700000000.0 0.9722809362390976 0.10537580786959339
40 10 3140.4 2523300000000.0 0.29830999999999996 114773723000000.0 0.9784879450862107 0.2918927388986675
41 10 3143.2 1515900000000.0 0.29841999999999996 181901164000000.0 0.9917352291714799 0.295953627089353
42 10 3157.1 106070000000.0 0.012473 298470242400000.0 0.9996447474377743 0.012468568934791358
