BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 8127.3 21829000000000.0 1.3295 319995144000000.0 0.9361396777168555 1.2445977015245593
26 15 8164.0 1540700000000.0 0.18684 80520148900000.0 0.9812249078500576 0.18333206178270475
27 15 8174.7 55859000000000.0 10.147 267696848890000.0 0.8273590164058802 8.395211939470466
28 15 8190.8 6562100000000.0 0.39658000000000004 1770772587000000.0 0.9963078985359385 0.3951157864013825
29 15 8196.2 111360000000000.0 13.452 1193356992000000.0 0.9146481568931694 12.303847006526913
30 15 8203.6 0.0 0.0 122337682500000.0 1.0 0.0
31 15 8226.0 96419000000000.0 17.407 472042712300000.0 0.8303861141150772 14.454531088401149
32 15 8247.4 43951000000000.0 5.276 1683426555000000.0 0.9745562283863298 5.141758660966276
33 15 8255.3 67336000000000.0 4.0377 899861442000000.0 0.9303802956087636 3.756596519579505
34 15 8256.8 48733000000.0 0.0058433 1322310006000000.0 0.9999631469142505 0.00584308465636404
35 15 8266.9 226160000000.0 0.013541999999999998 934440883820000.0 0.9997580314813758 0.013538723262320789
36 15 8270.8 27375.0 4.9153e-09 696115092600000.0 0.9999999999606746 4.915299999806704e-09
37 15 8282.7 473550000000.0 0.056603 1920763207100000.0 0.9997535181448877 0.056589048387555074
39 15 8305.8 316900000000.0 0.037773 1025049151100000.0 0.9996909396408629 0.037761325863054314
40 15 8309.8 2648100000.0 0.00015775 782863723000000.0 0.9999966174303844 0.00015774946639964316
41 15 8313.6 193670.0 3.4595e-08 1161827462000000.0 0.9999999998333057 3.459499999423321e-08
42 15 8325.1 471370000000.0 0.056054999999999994 1259668702000000.0 0.9996259384091708 0.056034031977526065
43 15 8340.0 122010000000.0 0.014484 973287444000000.0 0.9998746570628643 0.014482184532898526
44 15 8344.3 1719100.0 3.0595e-07 1370000308000000.0 0.9999999987451827 3.059499996160887e-07
45 15 8346.7 5435400000.0 0.00064472 1412307558000000.0 0.9999961514196744 0.0006447175187432924
46 15 8346.7 31550000000.0 0.0018710999999999999 2278118137000000.0 0.9999861510417072 0.0018710740872141382
47 15 8367.7 68765.0 1.2204e-08 996245403800000.0 0.9999999999309759 1.2203999999157629e-08
48 15 8369.3 1359600000000.0 0.080417 1235387398200000.0 0.9989006644026799 0.08032859472927031
49 15 8388.7 105840000000.0 0.012491 1614572873900000.0 0.9999344513561188 0.01249018123188928
50 15 8409.5 801550000.0 0.00014155 802453288660000.0 0.9999990011266566 0.00014154985860947826
51 15 8411.8 1052000000000.0 0.12382 714654395700000.0 0.9985301235166816 0.12363799989383552
52 15 8413.0 508920000000.0 0.029944 2093040478800000.0 0.9997569104410473 0.029936720926246718
53 15 8432.3 26206000.0 3.0768e-06 1556443624800000.0 0.9999999831628983 3.0767999481956055e-06
54 15 8440.5 71625000000.0 0.0042007 994467493500000.0 0.999927981716689 0.004200397472797295
55 15 8463.7 22129000.0 2.5885000000000003e-06 1425214961000000.0 0.9999999844732197 2.5884999598089294e-06
56 15 8476.3 854870000.0 0.00014977 1329771294000000.0 0.9999993571304673 0.00014976990371743008
57 15 8483.8 14982000000.0 0.0008742 2377318946000000.0 0.9999936979825074 0.000874194490776308
58 15 8489.9 2499300000.0 0.00029145 2084592578000000.0 0.9999988010621212 0.00029144965056955525
59 15 8546.4 52688000000.0 0.0030517 1701740342000000.0 0.9999690397133664 0.00305160551849328
