BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 8405.7 46081000000000.0 8.1412 781575616100000.0 0.9443235284976779 7.687926710205295
36 15 8427.6 38045000000000.0 4.4694 1521989694300000.0 0.9756127218586821 4.360403499075194
37 15 8431.3 35154000000000.0 2.0639 1044863581000000.0 0.96745052986318 1.996721148584617
38 15 8458.6 4696900000000.0 0.54975 1348282803700000.0 0.9965284771182041 0.5478415302957327
39 15 8470.9 155570000000.0 0.027274 1273467200100000.0 0.9998778523722627 0.027270668545601093
40 15 8476.0 3046600000000.0 0.17792 2117006552300000.0 0.9985629605575244 0.17766432194239473
41 15 8483.8 2245400000000.0 0.26204 1984456846000000.0 0.9988697853417537 0.2617438385509531
42 15 8530.1 12039000000.0 0.00069863 1731530573000000.0 0.9999930472401218 0.0006986251425933663
43 15 8563.4 26421.0 4.5818e-09 1364657898000000.0 0.9999999999806392 4.581799999911292e-09
44 15 8582.0 54822000000.0 0.006324300000000001 1553547840000000.0 0.999964712985282 0.0063240768343328195
45 15 8600.9 93522000000.0 0.0053826 1686252803000000.0 0.9999445416409348 0.005382301489836496
46 15 8621.0 229330000000.0 0.026336000000000002 2091806658000000.0 0.9998903795148288 0.026333113034902534
47 15 8634.4 53917000000.0 0.0030911 2380533292000000.0 0.9999773513863318 0.0030910299908702902
48 15 8656.8 51408000000.0 0.0058793 1880412625100000.0 0.9999726620668649 0.005879139272089718
49 15 8677.6 6070800000.0 0.00034631 1463709793200000.0 0.9999958524737285 0.0003463085636701769
50 15 8799.4 6863300000.0 0.0003861 2044141900000000.0 0.999996642465498 0.0003860987036559288
