BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 7974.6 87607000000000.0 1.3595 15399324880000.0 0.1494988283286474 0.2032436571127961
14 10 7977.4 70742000000000.0 3.2923 274943321000000.0 0.7953572347377748 2.6185546239271758
15 10 8008.8 7530700000000.0 0.3491 157072941600000.0 0.9542494933477826 0.33312849812771095
16 10 8023.4 73139000000000.0 5.6405 27752496790000.0 0.2750727035774409 1.5515475845285556
17 10 8038.7 2505400000000.0 0.19285 49016576590000.0 0.9513722072439612 0.18347213016699793
18 10 8045.7 13141000000000.0 0.60636 1270972106700000.0 0.989766477788105 0.6001548014715954
19 10 8054.2 31749000000000.0 3.4148 138572283550000.0 0.8135934667807991 2.778258970363073
20 10 8068.1 11589000000000.0 0.17776 1510002037800000.0 0.9923836302185665 0.17640611410765236
21 10 8089.1 35305000000000.0 1.6204 1761272156000000.0 0.9803487426732036 1.5885571026276593
22 10 8096.7 117540000000000.0 8.9828 1166429550000000.0 0.9084557729581672 8.160476517328624
23 10 8108.1 126430000000000.0 5.7893 1019514260000000.0 0.8896717716444603 5.150576787581274
24 10 8120.0 130860000000000.0 13.960999999999999 594623800000000.0 0.8196238151699596 11.442768083587806
25 10 8120.2 3218800000000.0 0.049055 827340500000000.0 0.9961245392111076 0.04886488927100088
26 10 8123.6 80528000000000.0 6.1337 1068029500000000.0 0.9298877069715709 5.703652228251524
27 10 8123.7 10731000000000.0 0.49041999999999997 404246946000000.0 0.9741407944604362 0.4777381284192871
28 10 8155.4 72047000000000.0 5.4664 1167183300000000.0 0.9418614925732529 5.1485916630024295
29 10 8161.8 1214500000000.0 0.092079 224634007340000.0 0.9946225015418337 0.0915838453194705
30 10 8168.7 40316000000000.0 1.8323 741350468100000.0 0.9484230146164562 1.7377954896817327
31 10 8183.2 58010000000000.0 4.3864 293081239830000.0 0.834772294438082 3.6616451923232027
32 10 8189.4 12825000000000.0 0.58143 1926326206000000.0 0.9933862816059327 0.5775845857141374
33 10 8191.6 690650000000.0 0.031301999999999996 1432961829000000.0 0.9995182584272573 0.03128692052529
34 10 8207.0 51846000000000.0 0.78179 689602273740000.0 0.9300746905263136 0.7271230923065667
35 10 8209.8 408700000000.0 0.030804 679726370000000.0 0.9993990899484128 0.030785489566770907
37 10 8230.5 22794000000.0 0.0010282 2123979640000000.0 0.9999892683738798 0.0010281889657420232
38 10 8242.5 142120000000.0 0.010669 1756079500000000.0 0.9999190762723899 0.010668136624750127
39 10 8250.3 1613400000000.0 0.024201 735263900000000.0 0.9978104902946529 0.024148011675620893
40 10 8254.2 1110500000000.0 0.049949 1157460049000000.0 0.9990414912575168 0.04990112344682171
41 10 8288.4 884730000000.0 0.066049 1032108014000000.0 0.9991435273818342 0.06599243084004276
42 10 8306.6 176220000000.0 0.0078761 1999982357500000.0 0.9999118969855779 0.00787540609184811
