BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 1423.6 81532000000.0 0.035438 22814843601.0 0.21864430981965377 0.00774831705138889
36 20 1437.8 33664000000000.0 20.282 14972303760000.0 0.3078421385367217 6.24365425380179
37 20 1438.0 72614000000000.0 31.246 15005297840000.0 0.17125562758333102 5.351053339468761
38 20 1438.0 87545000000000.0 22.603 15072483990000.0 0.14688027228838316 3.319934794534325
39 20 1441.4 11454000000000.0 2.95 48789728200000.0 0.809872324601584 2.389123357574673
40 20 1441.9 36706000000000.0 15.752 16500592896000.0 0.3101230880964846 4.885058883695826
41 20 1442.1 44090000000000.0 3.7837 16287122100000.0 0.26975651593701916 1.0206777293508995
42 20 1442.2 26021000000000.0 6.6984 31801116953000.0 0.549981886322999 3.683998667345977
43 20 1447.0 43651000000000.0 18.666 46880778570000.0 0.5178378168473886 9.665960689273357
44 20 1451.0 39154000000000.0 10.017999999999999 48523369160000.0 0.5534309437530117 5.544271194517671
45 20 1454.6 0.0 0.0 15010408390000.0 1.0 0.0
46 20 1455.2 2637500.0 1.1215e-06 15008500697000.0 0.9999998242662882 1.1214998029146422e-06
47 20 1455.5 143380000.0 3.6571e-05 15012319003000.0 0.999990449268325 3.6570650720191913e-05
48 20 1475.3 55386000000.0 0.023231 59667307500000.0 0.9990726138297832 0.023209455891879695
49 20 1475.8 105750000000.0 0.026604000000000003 58433191000000.0 0.9981935101969132 0.02655594014527868
50 20 1476.1 133690000000.0 0.011209 62071148400000.0 0.9978508102675178 0.011184909732288606
51 20 1476.1 0.0 0.0 30335936579000.0 1.0 0.0
52 20 1476.3 87355000000.0 0.036613 32463852360000.0 0.9973163821841108 0.03651474470090685
53 20 1476.4 158850000000.0 0.039945 33902686712000.0 0.9953363818742789 0.03975871177396807
54 20 1486.1 423910000000.0 0.1059 31523138585000.0 0.9867308556259236 0.1044947976107853
55 20 1489.4 332110000000.0 0.13797 30972875101000.0 0.9893911465241556 0.13650629648593776
56 20 1491.4 395180000000.0 0.16396 17655088260000.0 0.978106696570503 0.16037037396969966
57 20 1491.9 741340000000.0 0.18448 17317545121000.0 0.9589487393583381 0.1769068634368262
58 20 1492.1 1374400000000.0 0.114 17254902820000.0 0.9262237554845866 0.10558950812524287
59 20 1498.9 257890000000.0 0.063875 63199674180000.0 0.995936024281227 0.06361541355096337
60 20 1499.5 1551900000000.0 0.12808 32359018969000.0 0.9542359792307993 0.12221854421988076
61 20 1522.0 28345000.0 1.1524e-05 29958204173000.0 0.999999053849389 1.152398909656036e-05
62 20 1522.7 43155000000.0 0.010522 30025442680000.0 0.9985647817547306 0.010506898633623276
63 20 1523.1 69500000000.0 0.0056468 29971732842000.0 0.9976865130547228 0.005633736201917409
64 20 1531.3 26853000000.0 0.006510300000000001 62542386662000.0 0.9995708274521944 0.0065075059579620224
