BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 1394.8 210640000000.0 0.07475599999999999 405201788400.0 0.657964100573205 0.0491867643024505
26 15 1395.2 16598000000.0 0.011778 384641036700.0 0.958633137651534 0.011290781095259769
27 15 1395.6 253300000000.0 0.26953 404017535900.0 0.614645911350621 0.16566551248633288
28 15 1397.5 0.0 0.0 8396917712.0 1.0 0.0
29 15 1407.0 114260000000000.0 120.6 16601083920000.0 0.12686035773743726 15.299359143134932
30 15 1407.1 112630000000000.0 79.24600000000001 17406963558000.0 0.13386165811412556 10.608000958911996
31 15 1409.4 2115900000000.0 0.7431399999999999 50776292500000.0 0.9599959861750862 0.7134114171661534
32 15 1410.3 2391600000000.0 1.6789 50812631880000.0 0.9550486885066932 1.6034312431338873
33 15 1413.2 77055000000000.0 26.99 19633748580000.0 0.20306135789683008 5.480626049635443
35 15 1423.0 0.0 0.0 15861438346000.0 1.0 0.0
36 15 1423.0 459550000.0 0.00031972 15896750114000.0 0.9999710924112022 0.0003197107576657096
37 15 1423.0 923110000.0 0.00032111 15880016230000.0 0.9999418730857013 0.00032109133486654955
38 15 1424.2 374410000.0 0.00026026 67268430000000.0 0.9999944341213839 0.00026025855142443137
39 15 1429.8 20.989 2.1800000000000002e-11 16772850990000.0 0.9999999999987487 2.1799999999972724e-11
40 15 1429.9 78202000.0 5.4146000000000006e-05 16875655446000.0 0.9999953660088722 5.41457490879164e-05
41 15 1430.0 50688000.0 1.7547e-05 16736176773000.0 0.9999969713604743 1.7546946856462242e-05
42 15 1440.3 7168300000.0 0.0049273 46924771000000.0 0.9998472617985339 0.004926547413059916
43 15 1440.4 27549.0 2.8403e-08 47065089976000.0 0.9999999994146617 2.8402999983374635e-08
44 15 1445.6 16662000000.0 0.011411 1773744930000.0 0.990693735753134 0.011304806218679011
45 15 1447.2 115040000000.0 0.0787 47146646300000.0 0.9975658930307783 0.07850843578152225
46 15 1447.2 123890000000.0 0.042375 48087677400000.0 0.9974302847494645 0.04226610831625856
47 15 1449.9 4952.3 5.0725e-09 19396463900000.0 0.9999999997446802 5.07249999870489e-09
48 15 1450.2 49347000.0 3.3689e-05 20419345400000.0 0.9999975833269981 3.368891858470324e-05
49 15 1456.8 2431600000000.0 0.82626 24869989664000.0 0.910935589102113 0.7526696398515119
50 15 1456.9 2650900000000.0 1.8014 20131201100000.0 0.8836411098184442 1.5917910952269454
51 15 1458.5 247820000000.0 0.084113 63590337597000.0 0.9961179957359602 0.08378647297533881
52 15 1465.9 52192000.0 5.2875e-05 15773925583000.0 0.9999966912594436 5.287482505034308e-05
53 15 1466.6 11820000.0 7.9796e-06 15785913425000.0 0.999999251231726 7.979594025128682e-06
54 15 1466.9 547680000.0 0.00018482 15797797354000.0 0.999965333077685 0.00018481359285941773
55 15 1477.9 5559800000.0 0.0055868 32219445283000.0 0.999827469383304 0.0055858361059506435
56 15 1478.0 5428100000.0 0.003636 33203478027000.0 0.9998365468594708 0.0036354056843810358
57 15 1480.6 179220000.0 0.00011984 66658580946000.0 0.9999973113811365 0.0001198396777959154
58 15 1481.2 870510000.0 0.00029093 67554710790000.0 0.9999871141660949 0.00029092625112434197
59 15 1492.6 277280000000.0 0.091958 32773360792000.0 0.9916104501045826 0.09118651377071721
