BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 1469.1 29959000000000.0 30.285 14159135109000.0 0.32093684544956136 9.719572364439966
36 15 1469.7 5341300000000.0 3.598 14151311952000.0 0.7259833616370757 2.612088135170198
37 15 1470.0 12225000000000.0 4.1167 14159987639000.0 0.536668344618435 2.2093025742907115
38 15 1479.8 8334200000.0 0.0083636 28561704673000.0 0.9997082888113297 0.008361160244302437
39 15 1479.9 1595000000000.0 1.067 29889333080000.0 0.9493398829205881 1.0129456550762674
40 15 1481.9 22950000000000.0 15.332 58251598820000.0 0.7173700969746497 10.99871832681533
41 15 1482.3 6298800000000.0 2.1035 59004463100000.0 0.9035454018529742 1.900607752797731
42 15 1486.0 1286100000.0 0.00042842 30851410150000.0 0.9999583148263743 0.0004284021412379153
43 15 1508.7 0.0 0.0 28287383216000.0 1.0 0.0
44 15 1509.2 100380000000.0 0.065846 28297885762000.0 0.996465277110889 0.0656132526366436
45 15 1509.6 42008000000.0 0.013775 28285543000000.0 0.9985170620644191 0.013754572529937375
46 15 1524.2 83592000000.0 0.054296000000000004 55685362829000.0 0.9985011015491269 0.054214615809711396
47 15 1524.6 271940000000.0 0.088297 56690355000000.0 0.9952259648246266 0.08787546701612005
48 15 1534.3 29820000000.0 0.019241 32230277500000.0 0.999075638255588 0.01922321435567577
49 15 1534.6 56963000000.0 0.018374 31225261000000.0 0.9981790616933118 0.018340542079552914
50 15 1574.5 304310000.0 9.5675e-05 42553691404000.0 0.9999928488501516 9.567431581373824e-05
