BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 3466.6 2413900000000.0 0.43086 3133368492000.0 0.5648488975283585 0.24337079598906858
36 20 3490.3 135550000000000.0 14.418 133410733800000.0 0.49602308825943575 7.151660886524544
37 20 3490.5 122470000000000.0 21.711 112309335800000.0 0.4783612468163393 10.385701029629542
38 20 3491.7 42525000000000.0 10.55 109646375950000.0 0.7205453408401017 7.601753345863074
39 20 3497.5 7700000000000.0 0.8173600000000001 330930216270000.0 0.9772613321846608 0.7987743224744545
40 20 3500.5 53098000000000.0 1.8772 116323680000000.0 0.6865926485913727 1.288871719935725
41 20 3500.9 37562000000000.0 6.6389 144581648500000.0 0.7937781508752417 5.269813765845642
42 20 3502.3 32858000000000.0 3.4832 224758786270000.0 0.8724539635955144 3.0389316459958957
43 20 3509.8 30847000000000.0 5.4384 305587768800000.0 0.908312092385619 4.9397644832299505
44 20 3517.7 30547000000000.0 3.224 342650559410000.0 0.9181479105911283 2.960108863745798
45 20 3523.0 0.0 0.0 110545375280000.0 1.0 0.0
46 20 3527.5 91507000.0 1.6051e-05 110936179540000.0 0.9999991751390312 1.605098676015659e-05
47 20 3529.7 3311600000.0 0.00034833 111407594750000.0 0.9999702758005612 0.00034831964616960945
48 20 3559.4 70971000000.0 0.012338 371789242250000.0 0.999809146024578 0.012335645243651244
49 20 3561.3 145840000000.0 0.015203999999999999 285601230690000.0 0.9994896185649503 0.015196240160661503
50 20 3561.9 0.0 0.0 220021718190000.0 1.0 0.0
51 20 3563.5 43810000000.0 0.007607300000000001 284050329400000.0 0.9998457905534675 0.007606126882477394
52 20 3565.2 37736000000.0 0.0039296999999999995 378029099400000.0 0.999900186960435 0.003929307764698421
53 20 3566.0 241170000000.0 0.0083696 443991750170000.0 0.9994571091221521 0.008365056220508765
54 20 3579.1 721070000000.0 0.074797 223411334400000.0 0.9967828391350626 0.07455636601878528
55 20 3583.5 963980000.0 0.00016645 180582045220000.0 0.9999946618455177 0.00016644911146418642
56 20 3588.1 765060000000.0 0.13193 176441854680000.0 0.9956826741135832 0.13136041519580502
57 20 3589.5 2245800000000.0 0.077428 138325273000000.0 0.98402374007631 0.07619099014662853
58 20 3590.1 520010000000.0 0.053776 142304307420000.0 0.9963590933995448 0.05358020660665392
59 20 3601.2 275580000000.0 0.02841 438588963070000.0 0.9993720613698427 0.028392160263517232
60 20 3605.5 786040000000.0 0.02698 216546715180000.0 0.9963832419123893 0.02688241986679626
61 20 3642.3 21577000.0 3.6657e-06 218125123830000.0 0.9999999010797221 3.6656996373879375e-06
62 20 3646.6 23882000000.0 0.0024314 229581276650000.0 0.999895986657528 0.0024311471019591133
63 20 3650.5 54874000000.0 0.0018602999999999998 218742093830000.0 0.9997492012775852 0.0018598334391366916
64 20 3661.5 31266000000.0 0.0031701999999999998 438495336930000.0 0.9999287021590227 0.0031699739715845337
