BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
25 15 3411.2 3537100000000.0 0.5132800000000001 7943378989000.0 0.6919030988699107 0.35514002258794786
26 15 3415.0 299250000000.0 0.086755 4067305766000.0 0.9314677251278691 0.08080948249346828
27 15 3418.1 6054900000000.0 2.6306 7181858539600.0 0.5425692791867629 1.4272827458286983
28 15 3424.4 0.0 0.0 1168593088700.0 1.0 0.0
29 15 3435.5 118350000000000.0 34.105 155053858030000.0 0.5671238845978036 19.34176008420809
30 15 3436.8 131310000000000.0 56.736999999999995 112520803640000.0 0.46147083124956395 26.182470552606507
31 15 3437.0 10379000000000.0 1.4949 329303041500000.0 0.9694449551876001 1.4492232635099433
32 15 3445.3 20355000000000.0 5.8491 319570139580000.0 0.9401191685170742 5.498851028573219
33 15 3450.0 78259000000000.0 11.229000000000001 151821328600000.0 0.6598622729887739 7.409593463390943
34 15 3466.2 517.24 2.216e-10 114003253520000.0 0.999999999995463 2.2159999999899458e-10
35 15 3466.2 8535400000.0 0.0024379000000000002 133353985010000.0 0.9999359985101229 0.002437743970767829
37 15 3466.9 21280000000.0 0.0030384 116496524070000.0 0.9998173669666207 0.0030378450877913805
38 15 3470.4 11116000000.0 0.0031712 431894321950000.0 0.9999742628848278 0.003171118382460366
39 15 3479.7 135830000.0 1.9322e-05 117919882880000.0 0.9999988481175505 1.9321977743327308e-05
40 15 3479.8 3757.1 1.6034e-09 122984927900000.0 0.9999999999694508 1.6033999999510175e-09
41 15 3480.1 4330400000.0 0.0012319000000000002 133504068790000.0 0.9999675645874996 0.0012318600428153409
42 15 3496.5 154390000000.0 0.043717 313724396200000.0 0.9995081222217368 0.043695496579167666
43 15 3497.9 322830.0 1.3705999999999998e-07 325587726200000.0 0.99999999900847 1.3705999986410088e-07
44 15 3503.3 184960000000.0 0.052269 30158449485000.0 0.9939044424097617 0.05195039130031584
45 15 3507.6 42561000000.0 0.012013 272919610400000.0 0.9998440772954665 0.012011126900550438
46 15 3508.7 56530000000.0 0.007975399999999999 344348927000000.0 0.9998358620664944 0.007974090934325119
47 15 3512.1 68456.0 2.8946e-08 134468349120000.0 0.9999999994909137 2.8945999985263986e-08
48 15 3515.4 10972000000.0 0.0030901 211907273720000.0 0.999948225316972 0.0030899400110519755
49 15 3521.8 1945400000000.0 0.27344 241336818000000.0 0.992003525715965 0.2712534440717735
50 15 3525.7 2530700000000.0 0.7106399999999999 125099826100000.0 0.980171671485416 0.696549196624396
51 15 3529.4 843000000000.0 0.11824000000000001 361534201530000.0 0.9976736947124688 0.11796493766280232
52 15 3540.7 439200000.0 0.00018421 114695004000000.0 0.9999961707284287 0.00018420929460988386
53 15 3545.8 113810000.0 3.1776e-05 116802676870000.0 0.9999990256225957 3.1775969038183605e-05
54 15 3547.7 10471000000.0 0.0014609999999999998 115446295600000.0 0.9999093080439687 0.0014608674990522381
55 15 3562.7 2533600000.0 0.00070404 293402728180000.0 0.9999913648447044 0.0007040339205052656
56 15 3564.0 4137100000.0 0.0017238 225872931070000.0 0.999981684285025 0.001723768427370526
57 15 3569.6 1949900000.0 0.00054081 402622792790000.0 0.9999951570288826 0.00054080738087279
58 15 3571.4 17796000000.0 0.0024666999999999996 457006551440000.0 0.9999610611554949 0.002466603949552259
59 15 3589.8 217980000000.0 0.030057999999999998 241529213470000.0 0.9990983142477431 0.03003089712965866
