BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
4 3 3245.5 149660000000000.0 22.826 11176646000000.0 0.06949066819013373 1.5861939921079926
5 3 3255.1 37002000000.0 0.005627 1039487000000.0 0.9656271452843457 0.005433583946515014
6 3 3257.0 266150000000.0 0.080899 3072491000000.0 0.9202819350747804 0.07444988826561466
7 3 3262.3 0.0 0.0 1631159410.0 1.0 0.0
8 3 3289.3 23859000000000.0 3.5905 192954600000000.0 0.8899561651114136 3.1953876108325305
9 3 3293.4 295530000000.0 0.08884 249561800000000.0 0.9988172050025509 0.08873492049242662
10 3 3301.0 53594000000.0 0.0080367 3273402060000.0 0.9838911741903296 0.007907238199615422
11 3 3304.6 382280000000.0 0.11452999999999999 2278095005000.0 0.8563059721725208 0.0980727229929188
12 3 3305.9 97491000000000.0 14.597999999999999 62642850000000.0 0.3911905571495346 5.710599753268906
13 3 3307.6 113450000000000.0 33.958 3909883000000.0 0.03331532803249301 1.1313219093273976
14 3 3308.1 7738400000000.0 3.4739 5708931393500.0 0.4245400984361485 1.4748098479573362
15 3 3326.8 142550000000000.0 42.423 163724998000000.0 0.5345686036050517 22.678003870737108
16 3 3328.2 156190000000000.0 69.695 118860400000000.0 0.43214043680721786 30.118027743279047
17 3 3329.5 535550000000.0 0.079624 376287160000000.0 0.9985787746179099 0.07951083635017646
18 3 3337.8 22970000000000.0 6.8132 345226660000000.0 0.9376148604933027 6.38815756751297
19 3 3356.6 23889000000000.0 3.523 126188840000000.0 0.8408226024574981 2.962218028457766
