BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 3867.7 40603000000000.0 15.59 132589554410000.0 0.765561515399327 11.935104025075509
36 15 3873.6 11132000000000.0 2.8451 136492785700000.0 0.9245926085703371 2.630558430643466
37 15 3875.4 18310000000000.0 2.3388 136422433240000.0 0.8816666963958357 2.062042069530581
38 15 3889.6 16288000000000.0 4.146 347897142100000.0 0.9552754955732721 3.9605722046467857
39 15 3891.6 173730000000.0 0.06629600000000001 254888010800000.0 0.9993188707978896 0.0662508438584169
40 15 3897.0 9128900000000.0 1.1596 456189194900000.0 0.9803813775994208 1.1368502454642884
41 15 3897.1 13004000000000.0 3.3037 434271159300000.0 0.9709261743479077 3.207648802193183
42 15 3908.1 91292000000.0 0.011563 336545627260000.0 0.9997288116817351 0.011559864249475903
43 15 3947.2 0.0 0.0 256940107220000.0 1.0 0.0
44 15 3951.8 93621000000.0 0.023454 260410340200000.0 0.99964061582953 0.023445571003665795
45 15 3955.6 51721000000.0 0.006472399999999999 259152094700000.0 0.9998004620423495 0.0064711085105229015
46 15 3978.9 137130000000.0 0.034121 482104910430000.0 0.9997156407187608 0.03411129737696484
47 15 3981.4 193040000000.0 0.024000999999999998 524362529000000.0 0.9996319932312071 0.0239921674695422
48 15 3995.4 90476000000.0 0.022419 302468125680000.0 0.9997009637157971 0.022412295905544458
49 15 3999.0 31819000000.0 0.0039388 261638332400000.0 0.9998784003455122 0.003938321043280904
50 15 4075.0 4514500000.0 0.00054841 384718337930000.0 0.9999882655787887 0.0005484035647260636
