BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 3630.7 73565000000000.0 2.5075 5797800000000.0 0.07305437812173966 0.1831838531402622
14 10 3632.1 68890000000000.0 7.0417 19529426049000.0 0.22087257203159455 1.5553183904748793
15 10 3639.5 67815000000000.0 11.529000000000002 6866335519000.0 0.09194178801546882 1.05999687403034
16 10 3643.0 939090000000.0 0.095703 3191987429000.0 0.7726767372096138 0.07394748178117166
17 10 3647.1 363620000000.0 0.061692 1592348236000.0 0.8140971855741322 0.05022328357243936
18 10 3651.1 2880900000000.0 0.68355 2564539904000.0 0.47095183294855436 0.3219191254119843
19 10 3655.9 3880400000000.0 0.39405 289786162200000.0 0.9867863744141314 0.3888431708378885
20 10 3684.1 1808200000000.0 0.060739 407369558400000.0 0.9955808937243545 0.060470587903923574
21 10 3685.7 53592000000000.0 5.3983 335167661080000.0 0.8621461911682969 4.654123783783818
22 10 3686.6 124130000000000.0 20.835 205569305000000.0 0.6235054241318464 12.99073551178702
23 10 3688.2 150480000000000.0 35.343 140994600000000.0 0.48372859933592843 17.09641988632972
24 10 3689.8 102590000000000.0 10.322000000000001 231995224580000.0 0.6933815588277105 7.157084450219628
25 10 3694.1 32474000000000.0 5.4395 361387822000000.0 0.9175497644450545 4.991011943698874
26 10 3705.6 42244000000000.0 4.2325 116159012000000.0 0.7333131518989046 3.1037479154121135
27 10 3708.9 3192500000000.0 0.10652 47681240000000.0 0.9372466030608325 0.09983550815803988
28 10 3713.0 100080000000000.0 16.679000000000002 117836116390000.0 0.5407407140971213 9.019014370425888
29 10 3715.1 16359000000000.0 1.6348 69682807120000.0 0.8098714968040527 1.3239779229752653
30 10 3715.6 159190000000.0 0.026511 3002160925200.0 0.949644944909136 0.025176037134486105
31 10 3720.1 52261000000000.0 8.6925 50830712500000.0 0.4930630335585899 4.285950419208043
32 10 3731.2 1559800000000.0 0.1552 429517751500000.0 0.9963816255460939 0.15463842828475377
33 10 3736.3 58364000000000.0 1.9331 145081105100000.0 0.7131216306663551 1.3785354242411312
34 10 3742.7 224540000000.0 0.022274000000000002 163436813070000.0 0.9986280206304786 0.022243440531523283
35 10 3743.0 316900000000.0 0.052388 143856682000000.0 0.997801955145985 0.05227284882618786
37 10 3751.6 184990000000.0 0.018307 542271285900000.0 0.9996589771227311 0.018300756894185838
38 10 3759.1 990390000000.0 0.16302 319866527400000.0 0.9969132970296373 0.16251680568177146
39 10 3762.7 2622700000000.0 0.086258 141817100000000.0 0.9818422623127421 0.08469174986257251
40 10 3763.6 2299000000000.0 0.22679000000000002 179816607000000.0 0.9873761505789013 0.22392703718978904
41 10 3767.9 1476800000000.0 0.24251 257601594000000.0 0.9942997948335283 0.24112764324507893
42 10 3782.5 110060000000.0 0.010803 434793228700000.0 0.9997469322425016 0.010800266109015744
