BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 20 6427.7 24910000000000.0 2.398 86633166790000.0 0.7766783863425938 1.86247477044954
36 20 6454.6 142610000000000.0 8.2029 749588755940000.0 0.8401589342615151 6.891739721853782
37 20 6462.3 131740000000000.0 12.614 405494962400000.0 0.7547814099598519 9.520812705233572
38 20 6469.9 46827000000000.0 6.2698 411464535400000.0 0.8978226818893151 5.629168650909628
39 20 6478.0 25433000000000.0 1.4576 1177645317100000.0 0.9788600628583302 1.4267864276223021
40 20 6485.1 54568000000000.0 1.0413 430437654000000.0 0.8874899714055705 0.9241433072246205
41 20 6486.9 50104000000000.0 4.7793 854255285000000.0 0.9445972404651101 4.514513591354901
42 20 6489.0 48516000000000.0 2.7758 716343157400000.0 0.9365687139513093 2.599727436186044
43 20 6508.3 6151100000000.0 0.58481 762087289000000.0 0.9919932405252402 0.5801275669915658
44 20 6519.4 0.0 0.0 429625272100000.0 1.0 0.0
45 20 6521.6 10192000000000.0 0.58024 1188417597500000.0 0.9914968142911104 0.5753061115242738
46 20 6535.8 817980000.0 7.7441e-05 464427680620000.0 0.9999982387385734 7.744086360615386e-05
47 20 6541.8 25403000000.0 0.0014417 455765555110000.0 0.9999442661168503 0.001441619648460663
48 20 6573.2 24678000000.0 0.002323 1383527041300000.0 0.9999821632977968 0.002322958565340782
49 20 6576.2 66628000000.0 0.0037615 1140271882000000.0 0.9999415717355717 0.003761280222083353
50 20 6585.2 0.0 0.0 808938687300000.0 1.0 0.0
51 20 6585.6 33711000000.0 0.0031674 860746548000000.0 0.9999608366947923 0.003167275954147085
52 20 6592.1 54594000000.0 0.0030747 1227743420200000.0 0.999955535031521 0.0030745632835614176
53 20 6592.7 691830000000.0 0.012987 1514645938000000.0 0.9995434483224733 0.012981070763363961
54 20 6610.2 19260000000.0 0.0018029 778318112100000.0 0.9999752549463891 0.0018028553871428448
55 20 6611.9 743690000000.0 0.041757999999999997 904961951100000.0 0.9991788833300224 0.04172371181009507
56 20 6621.4 1958900000000.0 0.036612 728195876000000.0 0.9973171441667047 0.03651377528223139
57 20 6626.8 615860000000.0 0.057504999999999994 705593988300000.0 0.9991279362621712 0.05745485197475615
58 20 6628.5 286160000000.0 0.016028 862536155900000.0 0.9996683442294819 0.016022684221310136
59 20 6649.0 168300000000.0 0.009397299999999999 1297147640000000.0 0.9998702706142654 0.009396080894043434
60 20 6664.7 127360000000.0 0.0023649 726308635000000.0 0.9998246782911686 0.002364485381690785
61 20 6704.1 25692000.0 2.3714e-06 818080790000000.0 0.9999999685947898 2.3713999255256842e-06
62 20 6715.8 4231200000.0 0.00023391 1054352115500000.0 0.9999959869355239 0.0002339090613040884
63 20 6735.0 30947000000.0 0.00056864 823285600000000.0 0.999962411784249 0.0005686186258369954
64 20 6744.5 26939000000.0 0.0014829 1442953164400000.0 0.9999813309969163 0.0014828723157353273
