BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
35 15 6543.7 44556000000000.0 10.112 441725265400000.0 0.908374014854655 9.18547803821027
36 15 6559.8 27600000000000.0 4.1655 657121884000000.0 0.9596916636594603 3.997595624973482
37 15 6562.5 28989000000000.0 2.1867 526248471070000.0 0.9477899070029708 2.0725321896433964
38 15 6579.3 11950000000000.0 1.7982 994577830000000.0 0.9881275016508982 1.7768508734686452
39 15 6588.2 215270000000.0 0.048523000000000004 768202895400000.0 0.9997198530569772 0.04850940642988371
40 15 6593.2 6036800000000.0 0.45325 1298376880800000.0 0.9953720203269429 0.4511523682131869
41 15 6598.1 4345000000000.0 0.6519699999999999 1208746773000000.0 0.9964182429584411 0.6496348018616147
42 15 6625.8 33303000000.0 0.0024881 1061501242000000.0 0.999968627492947 0.0024880219420652014
43 15 6666.9 18725.0 4.170899999999999e-09 803104635000000.0 0.9999999999766842 4.170899999902752e-09
44 15 6679.4 69403000000.0 0.010287000000000001 860714651000000.0 0.9999193723446926 0.010286170583309854
45 15 6691.4 71592000000.0 0.0052963 868299702000000.0 0.9999175560034116 0.005295863351860869
46 15 6714.2 201950000000.0 0.029778 1354611614000000.0 0.9998509389001069 0.029773561258567383
47 15 6720.7 104280000000.0 0.007680500000000001 1556403910100000.0 0.9999330038860937 0.007679985436347144
48 15 6739.3 84518000000.0 0.012416 1040033031200000.0 0.9999187418767571 0.012414991099141817
49 15 6751.9 11744000000.0 0.00086101 832609197300000.0 0.999985895142174 0.0008609978555763633
50 15 6857.2 7429200000.0 0.00053631 1202323300000000.0 0.9999938210013105 0.0005363066861412128
