BOUND_ILEV FREE_ILEV DELTA_E AI_RATE DC_STRENGTH TOTAL_TR_RATE RADIATIVE_FRACTION DR_RECOMB_STRENGTH
13 10 6195.0 82199000000000.0 1.642 12010620000000.0 0.12748825438421257 0.20933571369887705
14 10 6197.6 70209000000000.0 4.2058 125082390000000.0 0.6404910631236738 2.693777313285547
15 10 6220.0 4205000000000.0 0.25099 48276385438000.0 0.919876353017249 0.23087976584379932
16 10 6223.3 71427000000000.0 7.1018 17912457610000.0 0.20049883992126466 1.4239026613528374
17 10 6235.5 1471500000000.0 0.14602 17599038320000.0 0.922839094769717 0.1347529646182741
18 10 6243.5 9536400000000.0 0.56707 800637949800000.0 0.9882292002920678 0.5603951326096229
19 10 6246.2 16200000000000.0 2.2468 42535564350000.0 0.7241875483911989 1.6271045837253457
20 10 6273.3 7204000000000.0 0.14211 1047079578200000.0 0.9931669238248977 0.1411389515447562
21 10 6282.6 39088000000000.0 2.3098 1073479200000000.0 0.9648668413018108 2.2286494300389226
22 10 6287.0 119330000000000.0 11.745 679935040000000.0 0.8507003384008889 9.99147547451844
23 10 6294.8 123710000000000.0 7.2964 605650440000000.0 0.8303856458132004 6.058825826111436
24 10 6297.4 143970000000000.0 19.805 393634800000000.0 0.7322010517763234 14.501241830430086
25 10 6306.2 59809000000000.0 5.8685 840660210000000.0 0.9335801831580671 5.478715304863117
26 10 6310.6 4292000000000.0 0.08416799999999999 344143460000000.0 0.9876820803485385 0.08313122533877579
27 10 6311.2 18953000000000.0 1.1149 257268387430000.0 0.9313847483848329 1.0384008559742501
28 10 6328.3 86523000000000.0 8.4601 528050300000000.0 0.8592145151766274 7.269040719845786
29 10 6337.0 35432000000000.0 2.0758 387222033100000.0 0.916167841248029 1.9017812048626586
30 10 6337.4 710670000000.0 0.069388 61462955970000.0 0.9885695905794056 0.0685948667511238
31 10 6347.8 57420000000000.0 5.5972 163600982100000.0 0.7402056607728738 4.143079124477929
32 10 6356.7 7184700000000.0 0.41962 1209552442000000.0 0.9940951091636849 0.41714218970726546
33 10 6367.7 601980000000.0 0.035098000000000004 748846923200000.0 0.9991967697898687 0.03506980822608482
34 10 6368.7 54373000000000.0 1.0566 415260590800000.0 0.8842225065132628 0.9342695003819135
35 10 6374.1 566650000000.0 0.055009 436615730000000.0 0.998703859016459 0.05493770058063639
37 10 6389.0 65342000000.0 0.003797 1353388620000000.0 0.9999517220372214 0.0037968166885753297
38 10 6399.4 334470000000.0 0.032341 1031296640000000.0 0.9996757852717334 0.03233051457147313
39 10 6405.8 2000400000000.0 0.038646 434822900000000.0 0.9954205739483218 0.038469023500806845
40 10 6409.1 1477800000000.0 0.08560599999999999 649668543160000.0 0.9977304641030029 0.08541171411000166
41 10 6426.1 1145800000000.0 0.11033 667516101000000.0 0.9982864284651385 0.11014094165255872
42 10 6442.6 165760000000.0 0.0095523 1245046870200000.0 0.9998668821725866 0.009551028418577199
